Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,高技术出口,至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,森林面积
1970,13.2,244.0,,,,,,,,,,,0.5827,
1971,13.2,198.6,,,,,976.2,159.5675,,,14391.78,17.5772,58.26058,
1972,11.1,400.5,-20000.0,,,,1006.9,135.3172,,,13040.85,18.06087,58.27589,
1973,12.7,277.6,,,,,1279.6,143.1446,,,13535.75,18.54756,58.27896,
1974,11.9,301.9,,,,,1301.9,173.6536,,,14945.97,19.0132,58.27896,
1975,12.1,325.8,,,,,1316.4,186.5108,,,14574.16,19.43627,58.27896,
1976,12.2,369.7,,,,,1362.4,197.4455,,,14746.85,19.82522,58.27896,
1977,13.2,302.8,-1153959.0,,,,1224.0,224.225,,,15247.28,20.17476,58.28202,
1978,12.8,294.5,,,,,1291.9,247.3541,,,15112.32,20.43501,58.28202,
1979,12.7,337.2,,,,,1323.7,275.7381,,,14923.08,20.54202,58.28049,
1980,13.0,350.8,,,,,1349.0,272.6555,,,15691.27,20.45844,58.28049,
1981,13.1,358.4,,,,,1338.3,264.1112,,,15810.34,20.17535,58.28662,
1982,12.0,415.9,-3345095.0,,,,1330.2,,,,15615.33,19.73244,58.28815,
1983,12.9,317.0,,,,,1355.6,,,,15322.53,19.20432,58.28815,
1984,12.5,268.9,,,,,1334.1,,,,14278.79,18.6936,58.28815,
1985,13.1,240.1,,,,,1331.7,,,,13545.74,18.28601,58.28815,
1986,12.5,320.0,,,,,1314.0,,,,12269.46,17.97656,58.28815,
1987,13.2,310.3,-1525351.0,,,,1359.8,,,,12400.51,17.77493,58.27436,
1988,13.7,331.8,,,,,1285.7,,,,12959.29,17.79556,58.2667,
1989,12.4,323.0,,5174.0,,,1237.6,,,,12348.96,18.17981,58.2667,
1990,13.3,356.3,,1478.0,,,1200.6,,,,15180.0,19.01221,58.2667,1.850994
1991,12.7,416.0,,3302.0,,,1160.4,,,,15100.0,20.37039,58.25139,1.850994
1992,12.3,390.9,3076383.0,4276.0,,,1097.8,,,,13630.0,22.18782,58.25139,1.850994
1993,12.7,313.6,,4071.0,,,1132.9,,,,13460.0,24.22664,58.10434,1.850994
1994,12.8,335.9,,8937.0,,,1140.4,,,,13270.0,26.15527,57.919,1.850994
1995,12.8,310.9,,5499.0,,,1214.5,,,,13480.0,27.7405,57.8271,1.850994
1996,12.5,323.7,,3177.0,,,1204.4,,,,14440.0,28.87823,57.82557,1.850994
1997,12.6,326.9,-867540.0,6396.0,,,1348.8,,,,15340.0,29.64974,57.88377,1.850994
1998,13.2,357.0,,6256.0,,,1388.0,,,,16100.0,30.23278,58.00172,1.850994
1999,13.8,306.8,,4629.0,,,1285.7,,,,16910.0,30.89613,57.8271,1.850994
2000,13.5,237.3,,5235.0,,,806.3,,,28.17142,15080.0,31.82912,57.8271,1.850994
2001,13.8,228.0,,5055.0,,,1006.7,,,28.19937,13490.0,33.0959,57.8271,1.850994
2002,13.6,300.8,744193.0,890.0,,,1669.8,179.4266,,30.23638,16090.0,34.6181,57.8271,1.850994
2003,13.1,331.8,,687.0,,,1458.0,190.6838,,32.27372,16780.0,36.27251,58.06758,1.850994
2004,13.9,304.1,,715.0,,,1334.8,211.3821,,34.32856,16520.0,37.87441,58.06911,1.850994
2005,13.1,359.4,,1595.0,,22.29527,1790.4,242.0313,,36.4015,17400.0,39.29521,58.06758,1.850994
2006,13.9,340.2,,4750.0,,28.09996,1551.7,263.7336,,38.47546,21040.0,40.4881,58.06758,1.850994
2007,13.5,314.4,-1046361.0,6906.0,,33.9016,1915.3,359.6932,,40.87575,24880.0,41.5105,58.06758,1.850994
2008,13.6,288.3,,5552.0,3400.0,42.4,1455.4,364.6635,,43.31115,31540.0,42.46283,58.06758,1.850994
2009,13.7,376.8,,6341.0,28000.0,45.52068,2040.7,437.2687,,45.78161,36960.0,43.49295,58.06758,1.850994
2010,14.0,291.5,,6864.0,71000.0,42.7,2011.1,543.3065,,48.28708,44910.0,44.70409,58.06911,1.850994
2011,13.5,316.5,,7403.0,3000.0,43.22202,1659.9,591.19,,50.82785,58650.0,46.1315,58.06758,1.850994
2012,12.9,365.3,521769.0,7721.0,30000.0,69.1,2029.6,638.8459,,53.40352,66750.0,47.73057,58.06758,1.850994
2013,13.9,363.8,,8056.0,15000.0,68.98294,2048.5,624.3155,,56.01404,74800.0,49.42804,58.06758,1.850994
2014,13.3,297.3,,12284.0,13000.0,89.5,2017.5,614.2233,,58.65937,84620.0,51.11479,58.06758,1.850994
2015,13.7,400.7,,17273.0,71000.0,71.5,2133.7,556.0072,,61.33978,93730.0,52.71207,58.06758,1.850994
2016,14.2,363.3,,17978.0,7400.0,97.7,1981.9,512.0128,,64.05488,95370.0,54.19696,58.06758,1.850994
2017,13.8,285.4,-314602.0,19014.0,27000.0,97.7,2025.1,516.6799,,66.8087,97300.0,55.59555,58.06758,1.850994
2018,14.2,262.7,,25676.0,435000.0,98.71562,2164.9,485.6684,0.0,69.60193,98920.0,56.93705,58.08137,1.850994
2019,13.6,376.5,,29940.0,117000.0,97.7,,494.1793,0.0,72.43422,,58.26939,,1.850994
2020,,,,20473.0,46000.0,,,516.7479,,75.09141,,59.62739,,1.850994
