Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,高技术出口,至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,森林面积
1970,24.0,129.2,,,,,,,,,,,0.4435,
1971,23.4,120.6,,,,,853.7,,,,5099.196,11.91425,44.36995,
1972,23.7,92.7,-360993.0,,,,787.1,,,,5353.746,12.10405,44.39078,
1973,23.9,157.7,,,,,843.7,,,,5678.184,12.31284,44.40025,
1974,23.7,145.6,,,,,799.8,,,,5872.293,12.55754,44.40972,
1975,23.7,168.5,,,,,951.0,,,,5917.569,12.85054,44.43434,
1976,23.9,142.4,,,,,823.2,,,,6186.569,13.19761,44.43434,
1977,24.0,183.0,-75000.0,,,,883.3,,,,6264.113,13.59674,44.43434,
1978,23.9,141.7,,,,,956.5,,,,6618.75,14.04278,44.43813,
1979,23.9,146.3,,,,,997.3,,,,6899.554,14.52677,44.44003,
1980,24.1,87.8,,,,,1016.5,,,,7806.921,15.04234,44.44003,
1981,23.9,109.2,,,,,1099.0,,,,7911.179,15.59162,44.44381,
1982,23.9,104.1,-50000.0,,,,961.4,,,,8473.544,16.1782,44.44381,
1983,23.8,218.6,,,,,526.4,,,,9000.107,16.79899,44.44381,
1984,23.6,89.3,,,,,533.1,,,,9185.618,17.45,44.44381,
1985,23.9,98.6,,,,,518.3,,,,9605.351,18.13014,44.45328,
1986,23.9,127.9,,,,,804.0,,,,10010.3,18.82891,44.45328,
1987,24.2,128.4,-50000.0,,,,840.2,,,,10103.0,19.55044,44.47033,
1988,24.1,145.5,,,,,970.5,,,,11644.38,20.32476,44.47033,
1989,23.7,186.3,,,,,1005.0,,,,12042.58,21.19284,44.47412,
1990,24.2,113.8,,,,,907.7,482.2481,,,12370.0,22.17927,44.74875,1.039832
1991,24.0,149.1,,,,,699.7,482.0606,,,14020.0,23.30081,44.75822,1.039832
1992,23.8,170.4,607781.0,,,44.1,1110.3,498.9634,,,14800.0,24.53578,44.47412,1.039832
1993,24.0,156.6,,,,40.77472,1109.3,393.7391,,,13920.0,25.82359,44.93627,1.039832
1994,24.0,148.8,,1489.0,,41.98513,1091.6,291.4721,,,14300.0,27.08036,44.94574,1.039832
1995,24.1,163.0,,,,43.19351,1105.0,285.5696,,,15820.0,28.24652,44.9571,1.039832
1996,24.1,158.4,,,,44.39917,937.1,374.0114,,,16480.0,29.29953,44.99309,1.039832
1997,24.1,177.2,-100000.0,,,42.6,895.4,428.0606,,,17820.0,30.25868,44.9268,1.039832
1998,24.6,162.9,,,,46.79961,1081.5,384.4999,,,19240.0,31.15765,44.85103,1.039832
1999,24.2,165.9,,,,47.99295,1111.2,451.5709,,,21070.0,32.04947,44.8283,1.039832
2000,24.1,160.5,,,,49.18035,1085.0,554.4487,,40.87907,22250.0,32.9736,44.8302,1.039832
2001,24.2,156.6,,,,50.36064,1064.3,550.3604,,41.10933,23840.0,33.93823,44.69004,1.039832
2002,24.3,162.4,-112150.0,,,51.53264,943.8,579.8531,,41.34313,24030.0,34.9332,44.80558,1.039832
2003,24.5,158.3,,,,52.69518,785.2,620.3827,,42.5965,26980.0,35.95848,44.50063,1.039832
2004,24.3,160.7,,,,49.59,715.2,709.9654,,43.76982,28240.0,37.00986,44.61807,1.039832
2005,24.3,154.9,,,,54.98731,713.1,832.8442,,44.92921,29330.0,38.08439,44.55367,1.039832
2006,24.3,155.5,,,,55.80033,930.2,921.4184,,46.07583,29680.0,39.18338,44.75065,1.039832
2007,24.4,188.4,-65768.0,,,57.24647,1019.5,1017.292,,47.20912,31410.0,40.31008,44.75065,1.039832
2008,24.0,160.8,,21.0,22000.0,58.3777,939.1,1229.247,,48.32899,33060.0,41.46476,44.5423,1.039832
2009,24.5,155.0,,94.0,,59.51836,995.2,1116.084,382625.0,49.43532,36970.0,42.64724,44.41919,1.039832
2010,24.5,155.3,,175.0,1000.0,60.67467,1092.4,1334.785,398148.0,50.52801,35610.0,43.85638,44.65973,1.039832
2011,24.3,162.7,,1140.0,,61.88527,1022.5,1374.621,678968.0,51.6066,32390.0,45.09269,44.41919,1.039832
2012,24.3,153.5,-75010.0,2330.0,,52.41,1064.4,1446.536,584721.0,52.67102,31470.0,46.35335,44.512,1.039832
2013,24.2,153.4,,582.0,10000.0,75.6,1008.2,1607.152,2668283.0,53.72152,38350.0,47.62981,44.50821,1.039832
2014,24.3,157.2,,1660.0,,66.1,962.7,1674.003,1319726.0,54.75738,38810.0,48.9109,44.41843,1.039832
2015,24.7,154.3,,6716.0,83000.0,67.39667,784.2,1601.83,3030318.0,55.77887,26050.0,50.18823,44.38245,1.039832
2016,24.4,159.9,,2846.0,45000.0,68.91871,687.0,1152.721,,56.78562,22740.0,51.45787,44.2938,1.039832
2017,24.5,157.9,-150000.0,2733.0,13.0,79.2,699.0,964.2648,,57.7776,21970.0,52.72044,44.2974,1.039832
2018,24.3,157.4,,4505.0,18000.0,62.0,759.2,758.1452,,58.75449,21760.0,53.97785,44.2974,1.039832
2019,24.7,154.3,,1703.0,31000.0,72.7517,,,,59.71658,,55.23405,,1.039832
2020,,,,2363.0,223000.0,,,,,60.66357,,56.49179,,1.039832
