Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,高技术出口,至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,森林面积
1970,24.9,1615.5,,,,,,,,,,,0.5872,
1971,24.2,1627.2,,,,,804.8,184.9035,,,64421.97,14.15172,16.98293,
1972,24.5,1529.1,-2500.0,,,,820.2,218.1761,,,63454.46,14.52724,17.12466,
1973,24.8,1557.3,,,,,770.7,269.5923,,,68260.65,14.92003,17.26217,
1974,24.2,1647.1,,,,,881.9,297.686,,,54887.49,15.33135,17.51602,
1975,24.2,1633.2,,,,,1057.6,383.4405,,,58835.29,15.76243,17.7593,
1976,24.1,1627.6,,,,,865.9,378.1236,,,60473.61,16.21374,18.00258,
1977,24.5,1432.0,0.0,,,,862.7,430.3814,,,70715.41,16.68586,18.28605,
1978,24.4,1699.8,,,,,836.7,574.1664,,,61313.87,17.17984,18.34317,
1979,24.8,1574.2,,,,,817.7,707.5443,,,66568.23,17.69702,18.853,
1980,24.8,1638.1,,,,,864.3,774.1852,,,81570.64,18.23826,18.89107,
1981,24.4,1547.6,,,,,865.0,743.7602,,,69936.03,18.80336,18.95454,
1982,24.5,1614.2,-16500.0,,,,890.3,721.2163,,,79285.91,19.39204,19.06031,
1983,24.8,1308.4,,,,,895.7,726.506,,,81502.71,20.00486,19.16608,
1984,24.6,1513.1,,,,,1076.6,749.3391,,,82208.99,20.64236,19.27186,
1985,24.5,1658.1,,,,,1154.1,848.4733,,,75827.77,21.30441,19.37763,
1986,24.5,1451.1,,,,,1381.5,1140.597,,,80286.41,21.99124,19.52571,
1987,25.0,1420.5,-19500.0,,,,1228.0,1216.064,,,81679.04,22.70114,19.4834,
1988,24.8,1616.5,,,,,1165.9,1104.794,,,70500.78,23.42964,19.4834,
1989,24.5,1513.8,,,,,1118.4,963.8327,,,80396.62,24.17086,19.44109,
1990,25.0,1621.0,,,,,1259.3,1045.364,,,17840.0,24.92032,19.39879,47.59789
1991,24.7,1531.5,,,,29.0,1179.3,975.4719,,,17530.0,25.67729,19.35648,47.40697
1992,24.4,1548.4,-48000.0,,,32.69753,1072.2,965.7807,,,17480.0,26.44221,19.37763,47.21605
1993,24.6,1617.5,,,,33.84919,959.3,1257.906,,,21650.0,27.21349,19.37763,47.02513
1994,24.6,1550.8,,,,34.9995,968.7,672.8487,,,78090.0,27.98963,19.37763,46.8342
1995,24.8,1548.9,,,,36.14777,1172.1,798.8813,,,78130.0,28.77025,19.37763,46.64328
1996,24.7,1632.5,,56.0,,37.29332,1344.0,794.0512,,,77880.0,29.55472,19.37763,46.45236
1997,24.8,1662.7,-48000.0,,,38.43547,1400.3,752.1698,,,78810.0,30.34512,19.37763,46.26144
1998,25.4,1545.4,,,,40.7,1413.2,767.3404,,,80340.0,31.14758,19.37763,46.07051
1999,24.7,1625.0,,,,40.70678,1893.3,765.3103,,,80590.0,31.97013,19.37763,45.87959
2000,24.7,1576.0,,,,41.0,1763.5,681.102,,57.61869,82580.0,32.81916,19.37763,45.68867
2001,24.8,1616.1,,,,46.2,1708.9,687.6481,,58.0923,81440.0,33.697,19.37763,45.54122
2002,25.0,1616.5,-54000.0,,,44.06614,1682.7,759.1119,,58.55919,81280.0,34.60389,19.37763,45.39377
2003,25.0,1603.0,,,,45.16857,1619.9,950.5649,,59.01892,82630.0,35.5416,19.37763,45.24632
2004,25.1,1541.4,,,,47.1,1563.2,1090.785,,59.47197,81690.0,36.51144,19.4834,45.09887
2005,25.1,1489.5,,,,47.34048,1669.7,1100.175,,59.91704,83410.0,37.51435,19.48975,44.95142
2006,25.0,1621.6,,,,49.0,1700.3,1147.437,,60.35507,82990.0,38.55149,19.48975,44.80397
2007,25.0,1657.1,-54000.0,,,48.2,1676.3,1277.517,,60.78607,84280.0,39.6232,19.48975,44.65652
2008,24.8,1564.8,,,1000.0,50.55055,1678.5,1439.548,,61.21008,83940.0,40.7283,19.59552,44.50907
2009,25.1,1517.8,,,,51.6311,1722.9,1411.475,,61.62672,84420.0,41.86483,19.7013,44.36162
2010,25.3,1575.8,,,3000.0,52.7273,1648.7,1352.302,,62.03644,85500.0,43.03111,20.51998,44.21417
2011,25.0,1486.9,,,,53.7,1710.0,1465.146,,62.43885,84750.0,44.22668,20.62575,44.0957
2012,24.9,1601.7,-36000.0,,30000.0,54.98992,1591.5,1403.523,,62.83402,84450.0,45.45126,20.62575,43.97724
2013,25.0,1526.0,,,10000.0,56.15855,1676.4,1527.751,13489549.0,63.22156,85650.0,46.70369,20.62575,43.85877
2014,25.1,1505.8,,969.0,3500.0,56.8,1629.8,1604.214,27496793.0,63.60153,86320.0,47.9826,20.62575,43.74031
2015,25.1,1423.4,,924.0,11000.0,58.55208,1625.0,1382.51,14036843.0,63.97399,87300.0,49.28683,20.62575,43.62184
2016,25.3,1659.6,,181.0,,59.76893,1650.9,1413.256,11759707.0,64.33899,88300.0,50.6157,20.62575,43.50337
2017,25.1,1587.3,-24000.0,98.0,,60.99382,1682.8,1469.448,30197985.0,64.69579,88320.0,51.96859,20.62575,43.38491
2018,25.1,1504.9,,749.0,,62.2,1646.0,1585.241,16426309.0,65.04524,89050.0,53.34404,20.62575,43.26644
2019,25.0,1636.5,,693.0,24000.0,63.45231,,1533.096,,65.38663,,54.74051,,43.14798
2020,,,,429.0,116000.0,,,1537.13,,65.72042,,56.15676,,43.02951
