Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,高技术出口,至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,森林面积
1970,18.4,217.1,,,,,,,,,,,0.7006,
1971,17.6,338.7,,,,,588.7,319.2344,,,11204.95,35.75394,73.22886,
1972,16.7,299.7,-81501.0,,,,1256.6,355.2433,,,11162.52,37.00157,77.05409,
1973,17.6,194.8,,,,,293.8,366.4778,,,10697.32,38.29503,78.77897,
1974,17.7,361.6,,,,,1001.9,582.8044,,,13229.25,39.62989,78.99119,
1975,17.5,306.6,,,,,788.2,738.7165,,,15406.98,41.004,76.76026,
1976,17.1,381.3,,,,,1027.7,823.3373,,,17852.43,42.41298,77.33703,
1977,17.7,288.8,-161672.0,,,,622.7,853.8134,,,19473.95,43.86033,76.39569,
1978,18.0,278.8,,,,,921.5,989.8702,,,20093.6,45.36087,76.22701,
1979,18.4,311.0,,,,,673.2,1151.175,,,23406.05,46.93488,75.96039,
1980,17.4,338.3,,,,,1420.4,1462.63,,,23191.24,48.59493,76.5154,
1981,18.0,355.1,,,,,1330.0,1811.168,,,,50.34745,76.80379,
1982,16.9,304.9,-87001.0,,,,792.0,1827.444,,,28713.85,52.18319,76.7929,
1983,17.2,296.9,,,,,936.0,1878.775,,,32864.61,54.08016,76.12907,
1984,17.5,266.5,,,,,584.5,1864.891,,,35534.08,56.00744,76.03112,
1985,17.9,266.3,,,,,935.1,1991.225,,,33087.72,57.94228,75.91142,
1986,18.1,293.6,,,,,1167.0,2313.705,,,33878.86,59.87742,75.74274,
1987,17.9,354.1,-146501.0,,,,814.7,2864.055,,,41039.2,61.81765,75.672,
1988,17.5,449.0,,,,,1660.6,1414.306,,,43711.92,63.76681,74.72521,
1989,18.0,174.0,,,,,334.7,1540.468,,,42422.99,65.73315,73.41386,
1990,18.0,197.7,,,,,750.0,1920.631,,,58520.0,67.72319,73.43019,2.024595
1991,17.9,325.4,,,,,922.2,2165.852,,,62880.0,69.73229,73.52269,2.057242
1992,16.5,328.5,-70000.0,,,,1174.7,2510.478,,,64040.0,71.75791,74.07226,2.08989
1993,17.6,287.1,,,,,1489.0,2717.282,,,64520.0,73.81148,74.23006,2.122538
1994,18.8,375.4,,,,,1536.5,3231.927,,,67930.0,75.90862,75.0136,2.155186
1995,18.1,224.2,,,,,1661.2,3545.809,,,72090.0,78.05796,75.02993,2.187833
1996,18.6,371.5,,,,,1853.1,4171.456,,,75310.0,80.28158,75.03537,2.220481
1997,17.4,306.2,-130000.0,,,,1272.9,4376.873,,,75760.0,82.57323,75.11155,2.253129
1998,19.1,260.1,,,,,1584.7,4514.105,,,79020.0,84.88186,74.83948,2.285776
1999,19.0,190.5,,,,,1072.4,4556.661,,,78010.0,87.13675,74.91022,2.318424
2000,18.3,289.9,,,,,1148.6,4910.778,,91.47475,78010.0,89.29615,74.60551,2.351072
2001,19.1,330.7,,,,,1692.6,5175.262,,91.6403,78530.0,91.23166,74.6708,2.38372
2002,18.4,300.2,-379910.0,,,86.6,1993.5,5300.583,,91.80371,79140.0,92.96239,74.86669,2.416367
2003,18.5,361.0,,,,92.66165,1999.0,5494.84,,91.96481,79490.0,94.85927,75.2383,2.45155
2004,18.3,293.2,,1.0,,92.40216,1657.5,6330.74,,92.12376,81810.0,97.11732,75.74767,2.484502
2005,18.4,250.2,,,,92.131,1711.4,7309.108,,92.28028,92940.0,100.0228,75.32821,2.517187
2006,18.4,292.2,,,,99.50576,2002.3,8069.565,,92.43452,96910.0,103.7916,75.57044,2.549039
2007,18.5,254.9,370000.0,,,91.56738,1622.4,9056.635,,92.58662,100590.0,108.2458,75.67523,2.581573
2008,18.7,183.0,,,,91.28722,896.7,10554.08,86642892.0,92.73645,101700.0,112.5247,75.68068,2.614245
2009,18.6,297.5,,,,91.01649,1707.7,10589.6,47278461.0,92.88395,96470.0,115.4752,75.73513,2.646918
2010,20.1,220.7,,,,92.7,1231.9,11820.61,38812401.0,93.02933,95980.0,116.3347,75.73926,2.679736
2011,18.0,300.7,,1143.0,,91.59918,1678.8,3050.754,,93.09945,89570.0,114.8059,75.77738,2.712411
2012,18.9,365.7,-5386986.0,50555.0,,90.84232,1643.2,2094.408,,93.17551,75930.0,111.3046,75.81005,2.745085
2013,18.7,261.0,,71351.0,,90.13882,1575.9,1039.175,,93.25772,56280.0,106.6191,75.81005,2.77776
2014,19.2,260.2,,64657.0,2300.0,89.97626,1063.4,1135.125,,93.34601,49100.0,101.8935,75.81005,2.810434
2015,18.9,283.5,,50666.0,,89.82977,1120.3,916.358,,93.50961,44380.0,98.0091,75.81005,2.843108
2016,19.0,297.0,,42345.0,,89.69534,1094.1,707.5053,,93.66914,44930.0,95.11282,75.81005,2.843108
2017,18.9,202.5,-2136954.0,21456.0,2300.0,89.56895,1082.6,942.5189,,93.82455,47540.0,93.09845,75.81005,2.843108
2018,19.8,372.4,,13365.0,27000.0,86.0,1204.7,1268.236,,93.89346,46320.0,92.27829,75.81005,2.843108
2019,19.1,382.7,,7548.0,17000.0,89.32488,,1334.371,,93.90981,,92.95939,,2.843108
2020,,,,4862.0,25000.0,,,,,93.92586,,95.30391,,2.843108
