Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,高技术出口,至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,森林面积
1970,25.2,1364.4,,,,,,,,,,,0.0775,
1971,24.4,1257.9,,,,,717.9,109.4534,,,101999.0,2.954376,7.76911,
1972,24.9,1278.9,-50000.0,,,,696.2,123.3107,,,100023.9,2.998148,7.785162,
1973,25.1,1248.6,,,,,682.8,143.1158,,,111111.5,3.04159,7.801214,
1974,24.4,1351.9,,,,,502.6,146.2278,,,78705.82,3.089001,7.817265,
1975,24.5,1370.9,,,,,533.5,193.355,,,87138.51,3.143547,7.849369,
1976,24.6,1393.4,,,,,526.0,225.9132,,,91112.86,3.205588,7.865421,
1977,24.7,1271.3,-1000.0,,,,522.5,248.686,,,113196.4,3.274445,7.881473,
1978,24.7,1316.1,,,,,595.4,292.47,,,89754.36,3.35109,7.897525,
1979,25.0,1354.8,,,,,497.2,327.3412,,,101345.9,3.436351,7.913577,
1980,25.1,1345.0,,,,,521.0,362.4001,,,134472.4,3.530385,7.937654,
1981,24.9,1348.9,,,,,569.6,306.8322,,,104548.4,3.634853,7.937654,
1982,24.9,1356.0,40000.0,,,,559.3,320.4298,,,126822.0,3.748658,7.961732,
1983,25.3,1200.6,,,,,674.6,273.5014,,,114469.6,3.865809,7.977784,
1984,24.8,1175.3,,,,,772.1,257.3536,,,112552.0,3.978269,7.997046,
1985,24.9,1279.0,,,,,1076.9,340.2014,,,97708.77,4.080661,7.998652,
1986,25.0,1159.2,,,,,1189.3,432.0118,,,99794.4,4.169901,8.032361,
1987,25.4,1219.0,-80000.0,,,,958.4,453.7462,,,106274.4,4.248669,8.033966,
1988,25.2,1368.3,,,,,1112.3,469.5292,,,95503.71,4.324335,8.035571,
1989,24.8,1273.5,,,,,1078.6,449.3989,,,108384.5,4.407421,8.035571,
1990,25.3,1270.4,,,,,809.9,513.3042,,,34730.0,4.505345,8.035571,37.24518
1991,25.1,1338.7,,,,,893.4,478.5033,,,35480.0,4.620545,8.038781,37.19702
1992,24.8,1303.7,50000.0,,,,1005.9,477.1223,,,35970.0,4.75013,8.058044,37.14887
1993,24.9,1317.8,,,,,989.7,419.8027,,,36450.0,4.88964,8.058044,37.10071
1994,24.8,1302.4,,,,,876.4,271.5055,,,39390.0,5.032292,8.058044,37.05255
1995,25.1,1356.0,,,,3.0,869.2,346.1082,,,39960.0,5.172978,8.041992,37.0044
1996,25.0,1367.6,,,,3.334916,882.7,304.6311,,,42360.0,5.310339,8.061254,36.95624
1997,25.5,1417.1,30000.0,,,3.83021,947.9,276.4216,,,42920.0,5.445491,8.223378,36.90809
1998,25.7,1410.8,,,,4.321425,989.2,278.3319,,,45340.0,5.578807,8.265113,36.85993
1999,25.0,1361.7,,,,4.807798,1006.8,280.9084,,,43390.0,5.711289,8.265113,36.81178
2000,25.2,1275.9,,,,6.0,993.3,251.2073,,59.01049,46740.0,5.84356,8.265113,36.76362
2001,25.2,1313.4,,195.0,,5.761562,1032.6,250.3571,,57.82857,42640.0,5.974535,8.265113,36.71546
2002,25.3,1250.3,-24405.0,131.0,,6.226599,1048.3,260.7455,,56.65333,40130.0,6.103132,8.265113,36.66731
2003,25.5,1322.8,,,,6.682173,1009.5,293.6615,,55.48438,44980.0,6.230031,8.338951,36.61915
2004,25.7,1274.8,,,,7.127105,1007.7,320.7368,,54.32171,42100.0,6.356357,8.371055,36.571
2005,25.8,1328.2,,,,7.560375,1018.2,331.1631,,53.17255,42870.0,6.482359,8.371055,36.52284
2006,25.6,1341.5,,46.0,,7.805169,989.7,354.6709,,52.03639,43570.0,6.610284,8.363029,36.47469
2007,25.6,1349.7,-125614.0,,,8.405599,951.2,404.3745,,50.91299,44490.0,6.738586,8.363029,36.42653
2008,25.4,1304.5,,,14000.0,7.48,946.8,464.5612,,49.80146,46240.0,6.859559,8.363029,36.37837
2009,25.9,1333.4,,88.0,15000.0,9.263563,948.4,474.7056,,48.70128,42260.0,6.9627,8.395133,36.33022
2010,25.9,1367.7,,47.0,,9.8,1447.4,488.4217,632110.0,47.61218,44960.0,7.041582,8.154355,36.28206
2011,25.4,1340.0,,48.0,,10.31072,1516.8,551.7497,1394.0,46.53332,48060.0,7.092746,8.154355,36.23391
2012,25.4,1382.9,-396129.0,45.0,18000.0,10.89428,1675.4,565.8012,134458.0,45.46443,46980.0,7.121274,8.154355,36.18575
2013,25.5,1395.6,,415.0,14000.0,11.45654,1256.7,380.2979,10012.0,44.40493,50040.0,7.139788,8.154355,36.1376
2014,25.4,1341.4,,17.0,940.0,12.05214,896.2,424.4491,,43.354,51370.0,7.165834,8.154355,36.08944
2015,25.5,1347.0,,,1100.0,12.74573,884.1,377.4229,4091308.0,42.31135,53480.0,7.212384,8.154355,36.04129
2016,25.6,1388.3,,,7500.0,13.49867,880.1,402.1916,6613251.0,41.27664,55820.0,7.283834,8.154355,35.99313
2017,25.4,1370.0,-200000.0,,2900.0,14.16905,907.0,450.9007,35462285.0,40.24882,54780.0,7.377481,8.154355,35.94497
2018,25.4,1309.3,,55.0,9300.0,14.65395,945.1,475.9538,8173212.0,39.22755,55680.0,7.490409,8.154355,35.89682
2019,25.6,1330.4,,51.0,102000.0,14.3,,467.908,,38.21227,,7.616904,,35.84866
2020,,,,57.0,15000.0,,,492.7959,,37.2024,,7.752679,,35.80051
