Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,GNI (current US$),至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
1970,24.9,1615.5,,,,,,,,,,,0.5872,
1971,24.2,1627.2,,,,,804.8,184.9035,1119275560.22829,,64421.97,14.15172,16.98293,
1972,24.5,1529.1,2500.0,,,,820.2,218.1761,1376836778.59092,,63454.46,14.52724,17.12466,
1973,24.8,1557.3,,,,,770.7,269.5923,1633547135.07877,,68260.65,14.92003,17.26217,
1974,24.2,1647.1,,,,,881.9,297.686,1876157760.11021,,54887.49,15.33135,17.51602,
1975,24.2,1633.2,,,,,1057.6,383.4405,2540677514.04605,,58835.29,15.76243,17.7593,
1976,24.1,1627.6,,,,,865.9,378.1236,2561200076.5849,,60473.61,16.21374,18.00258,
1977,24.5,1432.0,0.0,,,,862.7,430.3814,2627811748.38621,,70715.41,16.68586,18.28605,
1978,24.4,1699.8,,,,,836.7,574.1664,4264014416.64056,,61313.87,17.17984,18.34317,
1979,24.8,1574.2,,,,,817.7,707.5443,5576488487.76993,,66568.23,17.69702,18.853,
1980,24.8,1638.1,,,,,864.3,774.1852,5562770761.11466,,81570.64,18.23826,18.89107,
1981,24.4,1547.6,,,,,865.0,743.7602,5948518879.85015,,69936.03,18.80336,18.95454,
1982,24.5,1614.2,16500.0,,,,890.3,721.2163,6207428323.19405,,79285.91,19.39204,19.06031,
1983,24.8,1308.4,,,,,895.7,726.506,6469482688.56314,,81502.71,20.00486,19.16608,
1984,24.6,1513.1,,,,,1076.6,749.3391,7056305719.07926,,82208.99,20.64236,19.27186,
1985,24.5,1658.1,,,,,1154.1,848.4733,8278150851.72828,,75827.77,21.30441,19.37763,
1986,24.5,1451.1,,,,,1381.5,1140.597,11703434930.7938,,80286.41,21.99124,19.52571,
1987,25.0,1420.5,19500.0,,,,1228.0,1216.064,12880964303.8485,,81679.04,22.70114,19.4834,
1988,24.8,1616.5,,,,,1165.9,1104.794,12193313328.4002,,70500.78,23.42964,19.4834,
1989,24.5,1513.8,,,,,1118.4,963.8327,10797507542.9072,,80396.62,24.17086,19.44109,
1990,25.0,1621.0,,,,,1259.3,1045.364,11786760549.2888,,17840.0,24.92032,19.39879,75.0066749022861
1991,24.7,1531.5,,,,29.0,1179.3,975.4719,11102529078.1615,,17530.0,25.67729,19.35648,
1992,24.4,1548.4,48000.0,,,32.69753,1072.2,965.7807,11387830145.0971,,17480.0,26.44221,19.37763,
1993,24.6,1617.5,,,,33.84919,959.3,1257.906,15497617243.9439,,21650.0,27.21349,19.37763,
1994,24.6,1550.8,,,,34.9995,968.7,672.8487,8474422982.91063,,78090.0,27.98963,19.37763,
1995,24.8,1548.9,,,,36.14777,1172.1,798.8813,10316238800.1244,,78130.0,28.77025,19.37763,72.5750130995431
1996,24.7,1632.5,,56.0,,37.29332,1344.0,794.0512,10514126704.9084,,77880.0,29.55472,19.37763,
1997,24.8,1662.7,48000.0,,,38.43547,1400.3,752.1698,10224691544.5627,,78810.0,30.34512,19.37763,
1998,25.4,1545.4,,,,40.7,1413.2,767.3404,10819194802.355,,80340.0,31.14758,19.37763,
1999,24.7,1625.0,,,,40.70678,1893.3,765.3103,11118672991.3385,,80590.0,31.97013,19.37763,
2000,24.7,1576.0,,,,41.0,1763.5,681.102,9971651797.36077,57.61869,82580.0,32.81916,19.37763,70.8294828226436
2001,24.8,1616.1,,,,46.2,1708.9,687.6481,10257038339.4159,58.0923,81440.0,33.697,19.37763,
