Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,GNI (current US$),至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
1970,28.5,276.7,,,,,,,,,,,0.2604,
1971,28.2,281.9,,,,,831.4,65.38456,393751360.509013,,24892.6,4.953756,26.04349,
1972,28.4,235.2,95585.0,,,,687.9,79.15741,485815839.614391,,23570.45,5.03812,26.04349,
1973,28.5,232.2,,,,,673.4,90.10014,561341678.735443,,24308.61,5.127227,26.04349,
1974,27.7,298.8,,,,,796.2,84.59768,533923918.394614,,20052.23,5.219143,26.08446,
1975,27.7,296.2,,,,,880.6,128.151,819675359.719364,,21632.85,5.312519,26.12544,
1976,27.6,297.5,,,,,679.1,142.378,931397905.00543,,22200.16,5.406306,26.28853,
1977,28.3,259.7,174998.0,,,,615.7,156.4059,1049879172.35327,,24815.5,5.501001,26.28689,
1978,28.5,296.5,,,,,1077.5,178.9908,1233479863.81034,,22556.59,5.598382,26.28689,
1979,28.5,272.2,,,,,847.8,229.3458,1581719888.81242,,24801.04,5.701087,26.29099,
1980,28.8,273.3,,,,,726.1,248.1885,1740404951.24953,,29426.02,5.810672,26.29099,
1981,28.4,270.2,,,,,837.9,212.7214,1503298227.28444,,26719.24,5.929179,26.29345,
1982,28.2,238.6,218064.0,,,,785.0,180.5114,1307059935.48583,,29715.88,6.055344,26.29345,
1983,28.8,208.1,,,,,840.4,171.9979,1267599883.22355,,27048.73,6.183597,26.29345,
1984,28.6,213.4,,,,,696.6,160.2268,1211284538.17283,,25915.99,6.306278,26.29345,
1985,28.5,245.9,,,,,1084.0,177.7611,1366273682.50011,,23663.11,6.418581,26.30984,
1986,28.2,254.8,,,,,1089.8,232.8899,1827588492.10245,,24085.7,6.517725,26.3123,
1987,29.2,215.1,493982.0,,,,1033.4,259.3091,2070475568.31037,,24905.04,6.607345,26.3123,
1988,28.4,303.7,,,,,962.0,265.4373,2142856579.48632,,24366.25,6.696928,26.32623,
1989,28.3,276.3,,,,,939.7,262.9663,2181810275.53995,,26169.18,6.799694,26.32623,
1990,28.8,232.4,,457.0,,,726.4,317.3948,2666106803.0559,,15820.0,6.925081,26.33033,41.5287682468365
1991,28.4,279.7,,59.0,,,1055.3,315.4528,2721432408.63493,,15780.0,7.077199,26.33852,
1992,28.2,260.3,173489.0,,,,738.0,319.8402,2823416307.75624,,15830.0,7.253243,26.42211,
1993,28.7,256.9,,,,,762.8,310.1412,2820517517.65786,,16060.0,7.447343,27.1597,
1994,28.1,339.9,,106.0,,,817.8,223.0196,2058636363.29251,,16310.0,7.65036,28.88894,
1995,28.5,270.7,,,,,810.1,282.3401,2659076037.26335,,16660.0,7.855875,29.02745,40.5724799249173
