Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,GNI (current US$),至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,PM2.5 air pollution
1970,26.7,962.7,,,,,,,,,,,,
1971,26.3,838.5,,,,,,,,,,,,
1972,26.7,858.6,25000.0,,,,,,,,,,,
1973,27.1,909.1,,,,,,,,,,,,
1974,26.6,931.2,,,,,,,,,,,,
1975,26.7,1005.6,,,,,,,,,,,,
1976,27.0,922.8,,,,,,,,,,,,
1977,26.9,901.7,60000.0,,,,,,,,,,,
1978,27.1,985.9,,,,,,,,,,,,
1979,27.2,937.2,,,,,,,,,,,,
1980,27.4,869.7,,,,,,,,,,,,
1981,27.5,980.2,,,,,,,,,,,,
1982,27.4,918.5,150000.0,,,,,,,,,,,
1983,27.6,851.3,,,,,,,,,,,,
1984,27.7,708.3,,,,,,,,,,,,
1985,27.4,946.9,,,,,,,,,,,,
1986,27.6,826.3,,,,,,,,,,,,
1987,27.9,769.7,416233.0,,,,,,,,,,,
1988,27.4,1075.9,,,,,,,,,,,,
1989,26.8,993.4,,,,,,,,,,,,
1990,27.8,837.1,,,,,,,,,28600.0,,,46.2393620878641
1991,27.5,1051.7,,,,,,,,,29500.0,,,
1992,26.9,916.5,1097076.0,,,,,,,,31970.0,,,
1993,27.4,969.1,,,,,,,,,34000.0,,,
1994,27.1,932.0,,,,,,,,,35900.0,,,
1995,27.3,975.8,,,,,,,,,36610.0,,,45.3785831464613
1996,27.4,988.7,,,,,,,,,39840.0,,,
1997,27.6,958.4,300000.0,,,,,,,,42820.0,,,
1998,27.7,957.2,,,,,,,,,46690.0,,,
1999,27.2,1023.4,,,,,,,,,49460.0,,,
2000,27.7,953.4,,,,,,,,,53610.0,,,44.1015886546911
2001,27.7,939.9,,,,,,,,,51640.0,,,
2002,28.1,963.8,432000.0,,,,,,,,55390.0,,,
2003,28.0,999.5,,,,,,,,,58000.0,,,
2004,28.2,898.1,,,,,,,,,60260.0,,,
2005,28.3,883.1,,,,,,,,,63490.0,,,44.391704268704
2006,28.1,1056.3,,,,,,,,,62710.0,,,
2007,28.3,1075.2,846611.0,,,,,,,,66310.0,,,
2008,28.3,1033.9,,,,,,1669.494,,,67260.0,,,
2009,29.0,838.7,,,,3.0,,1337.882,,,69380.0,,,
2010,28.7,980.5,,,,1.5,,1535.707,,,68610.0,,,43.2253399578039
2011,28.0,946.5,,220.0,,2.689738,,1516.404,8550148979.59184,41.16322,65180.0,15.55543,45.14901,45.1014724085413
2012,27.6,954.1,100000.0,266.0,340000.0,3.137245,692.4,1179.74,11486155559.322,41.2372,66940.0,16.00327,45.14935,43.9740586353133
2013,27.9,950.1,,926.0,116000.0,3.608862,765.6,1779.47,17413371593.2203,41.27469,62550.0,16.38525,45.14941,42.6420012133163
2014,27.6,980.5,,1674.0,112000.0,4.100573,1253.7,1322.82,11954212847.4576,41.27739,59950.0,16.70189,45.15052,41.9005603291223
2015,28.0,944.1,,493.0,15000.0,4.608357,733.9,1119.651,10522802563.6757,41.24751,57410.0,16.9563,45.15052,47.7680316917478
2016,28.1,939.4,,735.0,,5.128197,737.3,,,41.18681,58440.0,17.14155,45.15139,44.8465719894277
2017,27.7,964.7,870998.0,484.0,75000.0,4.2,734.5,,,41.09733,56020.0,17.26541,45.15146,45.5775055664158
2018,27.6,974.7,,526.0,6600.0,6.18797,741.5,,,40.98151,58660.0,17.36894,45.1526,
2019,27.7,1019.1,,110.0,294000.0,6.720535,,,,40.84166,,17.50534,,
2020,,,,58.0,443000.0,,,,,40.95093,,17.71361,,
