Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,GNI (current US$),至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
1970,24.1,1530.3,,,,,,,,,,,0.1118,
1971,23.8,1457.2,,,,,725.4,272.0654,,,899793.3,9.070846,11.20399,
1972,24.0,1476.4,27450.0,,,,746.5,292.2971,,,958870.9,9.316671,11.22604,
1973,24.1,1411.6,,,,,741.1,362.8436,,,1021542.0,9.567697,11.2481,
1974,23.7,1528.6,,,,,744.0,430.7022,,,892820.4,9.828688,11.27015,
1975,23.7,1485.0,,,,,747.7,446.9755,,,1049438.0,10.10282,11.27015,
1976,23.8,1556.2,,,,,745.8,409.5242,,,927528.1,10.39257,11.29221,
1977,24.1,1593.2,100685.0,,,,739.2,509.0668,,,1066349.0,10.69634,11.30544,
1978,24.0,1512.8,,,,,728.9,615.9789,,,1124723.0,11.00831,11.31426,
1979,24.1,1537.8,,,,,799.0,587.1516,,,1481813.0,11.32026,11.31426,
1980,24.1,1515.0,,,,,798.7,546.1125,,,1234691.0,11.62696,11.33632,
1981,24.1,1477.1,,,,,822.5,463.6712,,,1079908.0,11.92754,11.35837,
1982,24.1,1554.5,450468.0,,,,833.9,492.5325,,,1219832.0,12.22615,11.3672,
1983,24.5,1452.0,,,,,833.5,387.5077,,,1226109.0,12.52899,11.38043,
1984,24.2,1454.6,,,,,850.2,269.8427,,,959899.0,12.84474,11.40248,
1985,24.0,1522.8,,,,,799.6,240.7881,,,970912.2,13.18066,11.42454,
1986,24.1,1549.4,,,,,789.9,263.8313,,,899602.0,13.53472,11.44659,
1987,24.6,1549.9,74515.0,,,,821.8,243.0048,,,1239852.0,13.90737,11.44659,
1988,24.4,1558.9,,,,,797.9,273.1278,,,880361.6,14.31101,11.44659,
1989,24.0,1569.3,,,,,802.0,269.5929,,,983441.9,14.76137,11.44659,
1990,24.4,1529.2,,,,,799.8,270.1305,,,42210.0,15.26743,11.451,43.2331345035832
1991,24.2,1486.6,,,,,802.4,268.2925,,,41100.0,15.83919,11.45983,
1992,24.1,1432.1,1287106.0,,,,782.2,220.368,,,41500.0,16.46806,11.46865,
1993,24.0,1457.2,,,,,790.6,275.8216,,,41870.0,17.12174,11.46865,
1994,24.1,1438.0,,0.0,,,793.4,145.0956,5148344537.81513,,42200.0,17.75566,11.46865,
1995,24.4,1456.3,,,,,765.8,135.8236,4880746438.74644,,42190.0,18.33936,11.38043,43.4830348273219
1996,24.1,1425.3,,1389.0,,,780.9,134.9952,5398983858.1108,,37000.0,18.8603,11.38043,
1997,24.3,1545.8,958174.0,4591.0,,,801.7,138.979,5685046520.48119,,36570.0,19.33226,11.33632,
1998,24.6,1466.5,,3356.0,,,811.0,138.5891,5824848120.9557,,37620.0,19.7834,11.33632,
1999,24.1,1521.9,,3282.0,,,787.3,102.598,4281472054.54545,,35870.0,20.25523,11.29221,
2000,24.3,1464.1,,1473.0,,6.7,786.6,405.2162,18699788397.1014,33.71493,35580.0,20.77847,11.29221,44.7617445693486
2001,24.4,1446.0,,486.0,,7.160378,786.6,153.591,7061817563.0,34.28904,37320.0,21.36192,11.27015,
2002,24.5,1591.1,241564.0,76.0,,7.820706,772.0,175.01,8430337554.61324,34.86509,42720.0,21.99849,11.27015,
2003,24.5,1450.9,,,,8.47157,771.5,173.7961,8710928320.4579,35.44311,45610.0,22.68392,11.27015,
2004,24.5,1413.0,,,,9.111794,771.7,194.04,9989337555.95146,36.02313,47790.0,23.40878,11.27015,
2005,24.8,1442.4,,34.0,,6.0,771.7,218.3862,11457022516.8176,36.60723,47910.0,24.16616,11.27015,42.0434387166272
2006,24.5,1577.6,,177.0,,10.35978,771.6,255.433,13982219064.1558,37.19645,49100.0,24.95668,11.28603,
2007,24.5,1506.6,43426.0,632.0,,15.2,771.6,286.3305,16102883772.5723,37.79087,46510.0,25.78403,11.31426,
2008,24.4,1500.5,,767.0,5100.0,11.59572,771.6,327.5637,18458639375.461,38.38955,48790.0,26.64749,11.33632,
2009,24.6,1528.3,,1978.0,130.0,12.2247,771.6,298.6197,17862577173.2475,38.99355,49250.0,27.54618,11.35617,
2010,24.8,1488.8,,300.0,98000.0,12.86934,771.7,334.0216,20654939478.4381,39.60195,51030.0,28.47924,11.46865,41.3980393308066
2011,24.3,1522.8,,283.0,12000.0,13.53588,771.3,387.0825,24543304631.7023,40.21581,51120.0,29.44582,11.55687,41.4932879518651
2012,24.2,1499.9,15060.0,806.0,23000.0,15.4,771.5,424.6004,27710051937.9617,40.8342,52160.0,30.44518,13.57535,43.0367715681656
2013,24.3,1532.4,,1531.0,3800.0,14.9459,771.9,457.9637,29868627089.0428,41.45717,55970.0,31.4765,13.8506,44.4957609524039
2014,24.3,1503.1,,993.0,24000.0,13.5,768.8,486.7871,32869069198.0978,42.08531,57680.0,32.53896,14.15937,42.5494471010008
2015,24.3,1517.0,,197.0,106000.0,16.43629,768.7,497.317,35126776382.8788,42.71818,57980.0,33.63161,14.20348,44.9311859243259
2016,24.5,1541.3,,765.0,130000.0,17.20158,770.0,471.3188,36345365361.454,43.35584,57640.0,34.75403,14.11526,45.4995001760321
2017,24.4,1548.3,119303.0,3632.0,27000.0,18.00639,769.4,467.0742,36945659017.8937,43.99784,59660.0,35.90515,13.89471,44.9092635986842
2018,24.3,1545.5,,821.0,81000.0,18.75225,769.2,560.8074,45864379412.0085,44.64477,58700.0,37.08259,13.89471,
2019,24.4,1554.0,,764.0,233000.0,19.1,,580.7169,48961722123.0809,45.29618,,38.28348,,
2020,,,,1149.0,279000.0,,,543.9504,47444089515.3761,45.95213,,39.5057,,
