Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,GNI (current US$),至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
1970,25.2,1364.4,,,,,,,,,,,0.0775,
1971,24.4,1257.9,,,,,717.9,109.4534,198941119.239967,,101999.0,2.954376,7.76911,
1972,24.9,1278.9,50000.0,,,,696.2,123.3107,228251320.490295,,100023.9,2.998148,7.785162,
1973,25.1,1248.6,,,,,682.8,143.1158,268083540.162556,,111111.5,3.04159,7.801214,
1974,24.4,1351.9,,,,,502.6,146.2278,278993393.149365,,78705.82,3.089001,7.817265,
1975,24.5,1370.9,,,,,533.5,193.355,376717384.254518,,87138.51,3.143547,7.849369,
1976,24.6,1393.4,,,,,526.0,225.9132,450459739.569492,,91112.86,3.205588,7.865421,
1977,24.7,1271.3,1000.0,,,,522.5,248.686,506691637.526422,,113196.4,3.274445,7.881473,
1978,24.7,1316.1,,,,,595.4,292.47,611778518.97513,,89754.36,3.35109,7.897525,
1979,25.0,1354.8,,,,,497.2,327.3412,695364907.936007,,101345.9,3.436351,7.913577,
1980,25.1,1345.0,,,,,521.0,362.4001,799613350.271394,,134472.4,3.530385,7.937654,
1981,24.9,1348.9,,,,,569.6,306.8322,698104783.582323,,104548.4,3.634853,7.937654,
1982,24.9,1356.0,40000.0,,,,559.3,320.4298,741049292.420748,,126822.0,3.748658,7.961732,
1983,25.3,1200.6,,,,,674.6,273.5014,647990922.832265,,114469.6,3.865809,7.977784,
1984,24.8,1175.3,,,,,772.1,257.3536,628156958.343927,,112552.0,3.978269,7.997046,
1985,24.9,1279.0,,,,,1076.9,340.2014,857549797.557333,,97708.77,4.080661,7.998652,
1986,25.0,1159.2,,,,,1189.3,432.0118,1109865058.60859,,99794.4,4.169901,8.032361,
1987,25.4,1219.0,80000.0,,,,958.4,453.7462,1176881510.93744,,106274.4,4.248669,8.033966,
