Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,GNI (current US$),至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,PM2.5 air pollution
1970,26.4,330.4,,,,,,,,,,,0.3802,
1971,26.2,298.1,,,,,634.9,134.6863,504596775.294783,,14150.07,2.957293,38.01587,
1972,26.8,269.6,49050.0,,,,482.6,153.444,589275229.050192,,14471.14,3.027979,38.01587,
1973,26.9,267.3,,,,,512.7,165.6135,650955197.163468,,14580.16,3.101501,38.02381,
1974,26.3,331.2,,,,,645.6,163.1365,656490434.318377,,10753.76,3.175546,38.04382,
1975,26.4,350.5,,,,,578.8,211.4682,872230329.590029,,11655.08,3.246957,38.11944,
1976,26.8,288.6,,,,,510.8,207.5288,874235973.190713,,12279.84,3.314113,38.19886,
1977,26.2,316.9,175500.0,,,,523.3,219.8137,941449818.796067,,14482.07,3.379322,38.19886,
1978,26.6,331.6,,,,,515.4,256.8239,1119848849.65077,,12931.63,3.444482,38.23856,
1979,27.0,343.2,,,,,491.7,227.08,1002051756.6001,,14061.66,3.512344,38.23856,
1980,26.9,341.2,,,,,546.6,228.8225,1038056268.00718,,16803.35,3.585155,38.23856,
1981,26.7,331.5,,,,,721.9,190.1072,873458088.389915,,14530.79,3.663324,38.23856,
1982,26.7,284.7,131245.0,,,,675.8,176.8423,832288385.122479,,16394.96,3.746948,38.23856,
1983,26.7,254.6,,,,,522.6,172.2602,826687138.498125,,15345.92,3.837608,38.23856,
1984,27.0,212.1,,,,,503.8,185.3943,911618330.57666,,13781.68,3.937072,38.23856,
1985,26.8,279.4,,,,,624.2,202.7456,1027594526.18479,,12661.25,4.046537,38.24253,
1986,26.8,262.9,,,,,584.0,203.5013,1059020854.49803,,13248.82,4.167155,38.28224,
1987,27.1,246.6,1418.0,,,,554.3,214.9382,1152744653.86735,,14119.93,4.298637,38.28224,
1988,26.8,395.2,,,,,734.4,265.241,1469247181.11323,,13571.28,4.439028,38.3021,
1989,26.4,301.4,,50.0,,,549.2,248.3034,1424250573.19624,,14969.02,4.585395,38.31798,
1990,27.1,234.6,,652.0,,,559.2,291.5534,1720769010.63852,,15440.0,4.735745,38.35769,65.7209816005027
1991,27.1,323.6,,68.0,,,618.6,304.8745,1874628293.0336,,21870.0,4.88968,38.3974,
1992,26.4,302.5,10374.0,899.0,,,729.9,296.0397,1884677294.87653,,22740.0,5.048238,38.41328,
1993,26.8,250.6,,120.0,,,501.0,222.9232,1423194551.11657,,23710.0,5.212774,38.4371,
1994,26.7,382.0,,156.0,,,746.5,173.9903,1171969799.0669,,24700.0,5.38521,38.45299,
1995,27.0,312.5,,,,,581.8,206.2607,1440773219.94822,,25730.0,5.567153,38.47681,68.9004989300415
1996,27.1,294.4,,,,,601.3,221.673,1597137258.47049,,28720.0,5.758397,38.46093,
1997,27.4,298.0,69444.0,97.0,,2.3,582.0,205.8627,1528104789.45787,,29360.0,5.958937,38.61976,
1998,27.5,342.5,,34.0,,2.420387,685.2,224.5537,1744116378.32108,,30200.0,6.170627,38.61976,
1999,27.3,330.1,,394.0,,2.806213,672.8,190.5591,1533049608.81054,,32220.0,6.395753,38.61976,
2000,27.0,288.5,,989.0,,3.186104,531.3,166.1757,1370995736.4603,39.52587,35050.0,6.635685,38.61976,65.9716005596686
2001,27.0,293.8,,226.0,,3.558882,634.7,197.1461,1688295015.53596,39.85204,33350.0,6.891716,38.85801,
2002,27.1,252.5,218966.0,294.0,,3.923373,670.9,221.4165,1936981359.29949,40.17618,37380.0,7.162664,38.69917,
2003,27.5,306.1,,37.0,,4.278399,827.3,292.6009,2284427780.84537,40.4992,41250.0,7.44434,38.77859,
2004,27.6,324.7,,50.0,,3.5,671.2,454.3364,3727138978.98502,40.82063,44460.0,7.730909,38.77859,
2005,27.5,352.6,,100.0,,4.955507,749.9,658.567,5624396341.71784,41.14047,48340.0,8.018289,38.85801,58.2008919741597
2006,27.5,339.7,,1250.0,,5.279098,766.8,710.3964,6216752918.69311,41.45869,49090.0,8.304576,38.85801,
2007,27.4,347.9,75000.0,69.0,,5.599637,799.3,799.6037,7450473272.77624,41.77572,50990.0,8.591194,38.8588,
2008,27.3,336.7,,991.0,10000.0,5.923361,775.2,929.3828,8725000640.13453,42.09069,52080.0,8.881503,38.8588,
2009,28.0,310.4,63467.0,135.0,5800.0,6.256507,598.3,803.6864,8903736312.90594,42.40402,52730.0,9.180545,38.94139,
2010,28.2,344.2,,4.0,70000.0,6.4,762.8,892.5689,10312399364.7461,42.72318,55150.0,9.491847,39.10022,56.5866274921791
2011,27.4,328.9,,,,8.98,632.0,984.7361,11856128211.9459,43.0479,57650.0,9.816539,39.17964,55.1951595799551
