Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,GNI (current US$),至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
1970,26.5,233.5,,,,,,,,,,,,
1971,26.1,224,,,,,,187.0769,2635000000,,58814.91,4.280515,,
1972,26.6,228.7,20002,,,,,196.9108,2856333333,,59423.81,4.422839,,
1973,27.1,196.1,,,,,,236.6172,3543000000,,65985.93,4.571668,,
1974,26.6,247.2,,,,,,294.9852,4547000000,,56181.84,4.728451,,
1975,26.8,235.5,,,,,,348.0101,5536333333,,60079.48,4.894155,,
1976,27.3,227.2,,,,,,419.931,6919666667,,61933.64,5.069169,,
1977,26.6,230.6,180000,,,,,506.6597,8643000000,,69047.63,5.253033,,
1978,26.9,273.6,,,,,,431.8121,7618750000,,62335.6,5.444783,,
1979,27.6,242.1,,,,,,491.5774,8948750000,,68575.07,5.64301,,
1980,27.5,240.7,,,,,,392.4148,7413666667,,82111.92,5.846594,,
1981,27.3,230.6,,,,,,509.1307,9647500000,,74389.95,6.056072,,
1982,27,188.1,219998,,,,,453.7962,9079666667,,83731.45,6.27163,,
1983,27,177.8,,,,,,390.7813,8049000000,,79698.6,6.491463,,
1984,27.7,126.2,,,,,,445.9485,9321785714,,79968.86,6.713254,,
1985,27.5,209.9,,,,,,552.9745,11999933333,,76285.63,6.935805,,
1986,27.2,199.3,,,,,,683.0674,15254187500,,74451.64,7.156375,,
1987,27.5,182.8,150000,,,,,849.6123,19541055556,,76359.35,7.37639,,
1988,27.1,287.4,,,,,,632.3354,14814190476,,73962.75,7.603738,,
1989,26.8,222.5,,4515,,,,611.9483,14517412698,,78623.49,7.849206,,
1990,27.6,152.7,,5030,,32.8,,483.9526,11408647541,,51990,8.119598,,51.14362625
1991,27.3,228.4,,1313,,26.91929,,432.479,9779222222,,52880,8.419374,,
1992,26.5,230.3,645810,1083,,27.40861,,260.5104,6193345996,,56520,8.743713,,
1993,27.5,233.5,,942,,27.89725,,320.4853,8025110483,,58450,9.078851,,
1994,27,286.6,,337,,28.38453,,449.7106,11894463743,,62930,9.405539,,
1995,27,247.5,,1036,,28.86978,,473.4135,12919091926,,63930,9.710323,,52.38815795
1996,27.5,211.8,,2289,,29.35232,,300.5649,8660885913,,65920,9.987447,,
1997,27.5,227.1,-602679,3859,,29.83146,,378.9548,11336473758,,68750,10.24196,,
1998,27.7,277.8,,4891,,30.30653,,355.1526,10882644373,,71490,10.48441,,
1999,27.7,300.4,,1408,,30.77676,,328.0687,10224524965,,73600,10.73064,,
2000,27.5,235.3,,2841,,23,,366.1727,11640538309,43.42978,77600,10.99199,,49.42807693
2001,27.6,224.5,,3457,,31.69804,,383.0161,15131769385,43.44304,73560,11.27251,,
2002,27.8,217.2,-546005,2312,,32.14664,,418.2518,17355069082,43.4563,78860,11.5682,,
2003,27.8,265.7,,2008,,32.58557,,484.8449,20486356656,43.46956,81290,11.87276,,
2004,27.9,194.6,,3673,,33.01359,,573.3069,25532810670,43.48282,83720,12.1765,,
2005,28.1,251.4,,246,,33.42965,,689.2096,33836325397,44.87897,88340,12.47284,,50.17542884
2006,27.8,256,,1030,,33.83627,,905.3097,43250509510,46.27477,88220,12.7599,,
2007,27.7,305,-982687,217,,34.23962,,1128.41,57187003174,47.67023,93130,13.04152,,
2008,28,229.4,,620,47000,34.64601,,1304.533,61818885944,49.06533,94260,13.32372,,
2009,28.5,191.5,,373,80000,29,,1163.797,50087995308,50.46498,96450,13.61506,,
2010,29,253.8,,1054,20000,38.09628,,1489.874,54796022310,51.86921,94810,13.92184,,47.26205558
2011,27.8,212.4,,1404,19000,39.85938,,1437.78,51237402658,53.2778,94530,19.11439,36.88347,51.15242727
2012,28,265.2,-538145,1411,84000,41.60363,537.3,1332.914,35608466700,54.6903,99320,19.57077,36.8811,49.68593895
2013,28.1,259.4,,594,284000,43.32481,592.8,1381.489,40223884726,56.10672,99640,20.04596,36.87432,48.02814491
2014,27.9,287.3,,849,187000,44.9,682.7,1625.464,48568747978,57.52663,100830,20.53568,36.87035,48.14174218
2015,28.3,226.3,,1264,8300,46.925,569.9,1656.906,50563738020,58.95025,104470,21.036,36.87031,58.90478573
2016,28.3,251.9,,1309,123000,48.83091,684.8,1325.156,41763874767,60.21588,109010,21.548,36.87253,54.14727633
2017,28,237.5,-250001,160,54000,50.65546,584,1103,39632308795,60.26709,108910,22.07038,36.87255,55.37083444
2018,28,308,,243,121000,52.29757,743,825.8689,29152007753,60.32303,109630,22.60479,36.87266,
2019,27.9,301.3,,,272000,53.82707,,753.2822,24535685746,60.38349,,23.15188,,
2020,,,,45,454000,,,595.4678,19857202368,60.44868,,23.71213,,
