Country Name,Country Code,Series Name,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Yemen, Rep.",YEM,电力供应(占人口百分比),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.1,40.77471542,41.98513412,43.19351196,44.39916992,42.6,46.79961014,47.99294662,49.18035126,50.36064148,51.53264236,52.6951828,49.59,54.98731232,55.80033463,57.24646759,58.37770462,59.51836014,60.67467499,61.88527298,52.41,75.6,66.1,67.39666748,68.9187088,79.2,62,72.75170135,..
"Yemen, Rep.",YEM,谷物产量(每公顷公斤),853.7,787.1,843.7,799.8,951,823.2,883.3,956.5,997.3,1016.5,1099,961.4,526.4,533.1,518.3,804,840.2,970.5,1005,907.7,699.7,1110.3,1109.3,1091.6,1105,937.1,895.4,1081.5,1111.2,1085,1064.3,943.8,785.2,715.2,713.1,930.2,1019.5,939.1,995.2,1092.4,1022.5,1064.4,1008.2,962.7,784.2,687,699,759.2,..,..
"Yemen, Rep.",YEM,GDP (美元）,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5647119229,5930370370,6463649985,5368270615,4167356037,4258788725,5785685311,6838557384,6325141676,7641102523,9652436180,9861560095,10694628092,11777966673,13872791659,16746344766,19061978586,21650532264,26910851362,25130274124,30906749533,32726417212,35401341663,40415235702,43228585321,42445102387,31317365269,26840128755,21606140907,..,..
"Yemen, Rep.",YEM,年淡水取水量，总计(亿立方米),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0156,..,..,..,..,3.2496,..,..,..,..,3.4564,..,..,..,..,3.565,..,..,..,..,3.565,..,..,..,..,3.565,..,..,..
"Yemen, Rep.",YEM,总人口,6290367,6390573,6500809,6630003,6784699,6967944,7178672,7414167,7669699,7941903,8231905,8541605,8869363,9213078,9572170,9941102,10322044,10730864,11189185,11709987,12302127,12954157,13634082,14297617,14913313,15469274,15975676,16450306,16921157,17409071,17918369,18443684,18985001,19540096,20107416,20687648,21282514,21892149,22516464,23154854,23807586,24473176,25147112,25823488,26497881,27168210,27834811,28498683,29161922,29825968
"Yemen, Rep.",YEM,温室气体排放总量(二氧化碳当量kt),5099.1964,5353.7458,5678.1841,5872.2931,5917.5693,6186.5688,6264.1134,6618.7501,6899.5535,7806.9207,7911.1785,8473.5444,9000.1068,9185.6179,9605.3506,10010.3032,10103.0026,11644.3834,12042.575,12370,14020,14800,13920,14300,15820,16480,17820,19240,21070,22250,23840,24030,26980,28240,29330,29680,31410,33060,36970,35610,32390,31470,38350,38810,26050,22740,21970,21760,..,..
"Yemen, Rep.",YEM,人均国内生产总值(美元),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,482.2481211,482.0605713,498.9633818,393.7390588,291.472071,285.5695931,374.0114314,428.0605956,384.4999404,451.5709253,554.4486653,550.3603645,579.8531406,620.382726,709.9653788,832.8441987,921.4183549,1017.292048,1229.246675,1116.084396,1334.784902,1374.621401,1446.536472,1607.152173,1674.002572,1601.830063,1152.720966,964.2648105,758.1452416,..,..
"Yemen, Rep.",YEM,鸟类受威胁物种,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,..,..
"Yemen, Rep.",YEM,哺乳动物受威胁物种,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..
"Yemen, Rep.",YEM,鱼类受威胁物种,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40,..,..
