Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,GNI (current US$),至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
1970,24.7,1634.6,,,,,,,,,,,0.6187,
1971,24.5,1480.9,,,,,1117.0,76.26375,,,4635.486,172.6116,62.04644,
1972,24.8,1652.3,-88000.0,,,,1148.7,76.90186,,,4739.763,175.5201,57.4746,
1973,24.9,1234.0,,,,,1066.4,94.90457,,,4750.973,178.4697,57.43832,
1974,24.4,1426.4,,,,,1175.4,112.9962,,,4762.047,181.5569,57.43832,
1975,24.6,1050.8,,,,,1117.7,133.7502,,,4776.875,184.8538,57.43832,
1976,24.4,1023.2,,,,,1238.9,169.3108,,,5037.022,188.3758,57.51089,
1977,24.9,1318.8,-97999.0,,,,918.8,178.8606,,,5170.005,192.1127,57.51089,
1978,24.8,1431.8,,,,,803.9,180.2732,,,5387.297,196.082,57.87373,
1979,24.8,2109.9,,,,,964.6,195.7542,,,5488.521,200.2971,57.87373,
1980,25.4,1669.5,,,,,1016.2,245.2166,1369499999.99714,,5565.321,204.7596,58.05515,
1981,25.2,1755.3,,,,,1046.7,256.2456,1466339999.9973881,,5279.598,209.4836,58.05515,
1982,25.0,1291.8,-124999.0,,,,1039.6,249.4322,1460179999.997196,,5462.089,214.4493,58.05515,
1983,25.4,1439.5,,,,,1044.3,268.2919,1609400011.48716,,5605.411,219.5797,58.05515,
1984,24.9,1398.6,,,,,1041.1,293.1868,1798139999.9984958,,5687.837,224.7709,58.05515,
1985,24.8,1483.1,,,,,1009.7,317.0763,1989600358.989962,,5691.607,229.9447,58.05515,
1986,24.9,1417.6,,,,,991.2,357.7968,2302663017.5239,,5331.762,235.0703,58.05515,
1987,25.5,1724.8,-135001.0,,,,969.7,309.3035,2026299377.605,,5285.993,240.1575,58.05515,
1988,25.3,1544.0,,,,,957.7,386.7773,2586801863.2328,,5440.299,245.2185,58.01887,
1989,25.0,1185.8,,48.0,,,972.3,396.6861,2710665629.54452,,5422.385,250.2814,57.98258,
