Year,平均温度/摄氏度,降水量/mm,农业，增加值（占 GDP 的百分比）,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,GNI (current US$),至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
1970,26.5,233.5,38.16491,,,,,,,,,,,,
1971,26.1,224.0,38.81777,,,,,,187.0769,2635000000.0,,58814.91,4.280515,,
1972,26.6,228.7,38.53805,20002.0,,,,,196.9108,2856333333.3333335,,59423.81,4.422839,,
1973,27.1,196.1,39.84134,,,,,,236.6172,3543000000.0000005,,65985.93,4.571668,,
1974,26.6,247.2,39.60102,,,,,,294.9852,4547000000.0,,56181.84,4.728451,,
1975,26.8,235.5,35.81041,,,,,,348.0101,5536333333.333334,,60079.48,4.894155,,
1976,27.3,227.2,34.37769,,,,,,419.931,6919666666.666667,,61933.64,5.069169,,
1977,26.6,230.6,35.60432,180000.0,,,,,506.6597,8643000000.0,,69047.63,5.253033,,
1978,26.9,273.6,34.7435,,,,,,431.8121,7618750000.0,,62335.6,5.444783,,
1979,27.6,242.1,32.12931,,,,,,491.5774,8948750000.0,,68575.07,5.64301,,
1980,27.5,240.7,29.91354,,,,,,392.4148,7413666666.666667,,82111.92,5.846594,,
1981,27.3,230.6,33.37992,,,,,,509.1307,9647500000.0,,74389.95,6.056072,,
1982,27.0,188.1,34.10534,219998.0,,,,,453.7962,9079666666.666666,,83731.45,6.27163,,
1983,27.0,177.8,31.19112,,,,,,390.7813,8049000000.0,,79698.6,6.491463,,
1984,27.7,126.2,28.60645,,,,,,445.9485,9321785714.285715,,79968.86,6.713254,,
1985,27.5,209.9,31.46633,,,,,,552.9745,11999933333.333334,,76285.63,6.935805,,
1986,27.2,199.3,34.51775,,,,,,683.0674,15254187500.0,,74451.64,7.156375,,
1987,27.5,182.8,31.61163,150000.0,,,,,849.6123,19541055555.555557,,76359.35,7.37639,,
1988,27.1,287.4,39.37288,,,,,,632.3354,14814190476.190477,,73962.75,7.603738,,
1989,26.8,222.5,37.36901,,4515.0,,,,611.9483,14517412698.412699,,78623.49,7.849206,,
1990,27.6,152.7,39.01959,,5030.0,,32.8,,483.9526,11408647540.983606,,51990.0,8.119598,,51.1436262510584
1991,27.3,228.4,40.18435,,1313.0,,26.91929,,432.479,9779222222.222223,,52880.0,8.419374,,
