,Unnamed: 0,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,year,month,day,helpful_rate,review_length,review,total_sentiscore
0,0,21879631,RY52KZABZK8QF,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,1,0,0,N,Y,do not recommend it go use your money for something more ,3 of the buttons stopped working after a month of using it it was used twice a day do not recommend it go use your money for something more durable oh and also big plates do not fit in it ,2015-08-31,2015,8,31,,245,do not recommend it go use your money for something more  3 of the buttons stopped working after a month of using it it was used twice a day do not recommend it go use your money for something more durable oh and also big plates do not fit in it ,-0.7375
1,1,14964566,R3GCOEV4HYZG2I,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,looks as good as the picture,didn t use it long so i can t attest to that but for the price it is extremely good looking and feels like a quality build just know it s small you will not be nuking turkeys in this and it s not super high wattage so it may take a bit longer so if you must have your canned soup in 2 1 2 minutes and not 3 then this won t work ,2015-08-31,2015,8,31,,356,looks as good as the picture didn t use it long so i can t attest to that but for the price it is extremely good looking and feels like a quality build just know it s small you will not be nuking turkeys in this and it s not super high wattage so it may take a bit longer so if you must have your canned soup in 2 1 2 minutes and not 3 then this won t work ,0.8978
2,2,13230389,R1V2OPPNL0QGCE,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,four stars,very nice microwave great price,2015-08-31,2015,8,31,,41,four stars very nice microwave great price,0.8155
3,3,43655888,R9Q0QDTLKV567,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,3,0,1,N,Y,quiet,quiet but does not seem like 1000 watt power ,2015-08-31,2015,8,31,0.0,50,quiet quiet but does not seem like 1000 watt power ,-0.395
4,4,117794,R3DL7HYC3QTWNI,B005GSZB7I,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd",4,0,0,N,Y,four stars,it s bigger than i thought ,2015-08-31,2015,8,31,,37,four stars it s bigger than i thought ,0.0
5,5,16018452,R3M88678ZYC6WI,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,great microwave,really love this microwave has the one touch settings that i wanted along with the 30 seconds button its a great size for a countertop it can be a little noisy when it beeps as others have said ,2015-08-31,2015,8,31,,209,great microwave really love this microwave has the one touch settings that i wanted along with the 30 seconds button its a great size for a countertop it can be a little noisy when it beeps as others have said ,0.9229
6,6,50761053,R2G20T7N6L3HO1,B001QFYDSI,295520151,sharp microwave drawer oven,1,0,0,N,N,stopped working after 2 years,we bought this microwave 2 years ago as part of a home remodel it was great while it worked but recently stopped working sharp warranty is only 1 year for the amount of money we spent on this i would expect it to last more than 2 years ,2015-08-30,2015,8,30,,265,stopped working after 2 years we bought this microwave 2 years ago as part of a home remodel it was great while it worked but recently stopped working sharp warranty is only 1 year for the amount of money we spent on this i would expect it to last more than 2 years ,-0.0644
7,7,21924164,R29F0E6EJJCEEM,B004ZUWBVW,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,was pleased with the packaging and easy instructions to set it ,was pleased with the packaging and easy instructions to set it up worth 55 and that it was prime 34 order ,2015-08-29,2015,8,29,,169,was pleased with the packaging and easy instructions to set it  was pleased with the packaging and easy instructions to set it up worth 55 and that it was prime 34 order ,0.91
8,8,18672427,R1WU4A3QFKJ0HT,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,great value for the money ,neat little unit i have no complaints ,2015-08-29,2015,8,29,,64,great value for the money  neat little unit i have no complaints ,0.7063
9,9,3159360,R2Q061UH1EJHIJ,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,2,1,1,N,Y,it had great reviews when we ordered it,the finish is nice and matches our stainless steel black wall oven nicely however the button to open the door no longer opens on the first try or needs some help and occasionally something internal to the microwave makes a noise when the tray is rotating ,2015-08-28,2015,8,28,1.0,294,it had great reviews when we ordered it the finish is nice and matches our stainless steel black wall oven nicely however the button to open the door no longer opens on the first try or needs some help and occasionally something internal to the microwave makes a noise when the tray is rotating ,0.8834
10,10,12458936,R2F0TUS62C3ZCN,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,great little microwave ,excellent small microwave i recently moved to an apartment which did not have a built in microwave but also a kitchen that wasn t that big this microwave was perfect for it its footprint is small however it packs a punch all my plates fit it and cooks everything evenly the only downside is that when opening or closing the door the whole microwave sometimes may move as it s not the heaviest out there but i m not going to fault it for that i just simply put my other hand on top of it while opening closing ,2015-08-28,2015,8,28,,532,great little microwave  excellent small microwave i recently moved to an apartment which did not have a built in microwave but also a kitchen that wasn t that big this microwave was perfect for it its footprint is small however it packs a punch all my plates fit it and cooks everything evenly the only downside is that when opening or closing the door the whole microwave sometimes may move as it s not the heaviest out there but i m not going to fault it for that i just simply put my other hand on top of it while opening closing ,0.9635
11,11,39416583,R2X9MN0B0MVUZT,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,four stars,works really well,2015-08-27,2015,8,27,,27,four stars works really well,0.3384
12,12,31487975,R35P4D0NHKAGKE,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",5,1,1,N,Y,five stars,love this microwave gives me more space in my kitchen only con is the price ,2015-08-27,2015,8,27,1.0,86,five stars love this microwave gives me more space in my kitchen only con is the price ,0.6369
13,13,26976013,R2V6PXBBC9ZPKZ,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,3,0,1,N,Y,i never used this for my wife insisted we buy ,i never used this for my wife insisted we buy a new microwave after i bought this i did contact ge and they gave me a 20 credit and said not to worry about paint peeling off tell that to your wife that was ok because i read some reviews which made it sound alittle difficult to use ,2015-08-27,2015,8,27,0.0,328,i never used this for my wife insisted we buy  i never used this for my wife insisted we buy a new microwave after i bought this i did contact ge and they gave me a 20 credit and said not to worry about paint peeling off tell that to your wife that was ok because i read some reviews which made it sound alittle difficult to use ,0.5727
14,14,43393377,R1MTXPHNTE0OEM,B007XZ8FNO,565072108,lg over-the-range microwave oven with 300 cfm venting system,1,3,3,N,N,this device needs to be recalled deaths are going to occur ,we are currently on the third microwave from lg the first microwave failed after 2 weeks it took 2 weeks for lg to get us a new microwave the next microwave lasted 11 months it went out on thanksgiving we bought a 69 00 off brand microwave it has worked perfectly for last 18 months the lg failed again after 18 months lowes and home depot should replace microwave reading the blog i have never had a brand of microwave failed this often i am going to take lg to court they have to know there is a major problem if so many failures yet they continued producing this worthless piece of junk this appears to be another bean counter situation cheaper to give new machine and fix damage than recall product ,2015-08-26,2015,8,26,1.0,762,this device needs to be recalled deaths are going to occur  we are currently on the third microwave from lg the first microwave failed after 2 weeks it took 2 weeks for lg to get us a new microwave the next microwave lasted 11 months it went out on thanksgiving we bought a 69 00 off brand microwave it has worked perfectly for last 18 months the lg failed again after 18 months lowes and home depot should replace microwave reading the blog i have never had a brand of microwave failed this often i am going to take lg to court they have to know there is a major problem if so many failures yet they continued producing this worthless piece of junk this appears to be another bean counter situation cheaper to give new machine and fix damage than recall product ,-0.9535
15,15,51425093,RR48906IDDC7R,B00NXRHIO8,692404913,samsung counter top microwave,5,1,1,N,Y, for about a week and so far it s been great the microwaving powder is quite strong,had this for about a week and so far it s been great the microwaving powder is quite strong but the grill plate is too high for some bulkier food that would be my only complain ,2015-08-25,2015,8,25,1.0,260, for about a week and so far it s been great the microwaving powder is quite strong had this for about a week and so far it s been great the microwaving powder is quite strong but the grill plate is too high for some bulkier food that would be my only complain ,0.6644
16,16,46888195,R3BRGLMPYWFS2N,B00NQFSSWS,692404913,samsung counter top microwave,1,5,7,N,Y,i only got to use the grill feature once and it was fun ,the microwave turntable and light would come by itself and sometimes when you closed the door at first we were able to cook with the microwave but eventually it got to where i couldn t get it to cook no matter what we tried such as unplugging it and it would sit there rotating but not heating so sadly we had to send it back i only got to use the grill feature once and it was fun ,2015-08-25,2015,8,25,0.7142857142857143,438,i only got to use the grill feature once and it was fun  the microwave turntable and light would come by itself and sometimes when you closed the door at first we were able to cook with the microwave but eventually it got to where i couldn t get it to cook no matter what we tried such as unplugging it and it would sit there rotating but not heating so sadly we had to send it back i only got to use the grill feature once and it was fun ,-0.244
17,17,7686469,R1FB7BN6Z0L3XO,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",5,1,2,N,Y,this is a funny story ,this is a funny story years ago my husband found one of these cube microwaves at a garage sale for 25 00 it was perfect for our daughter as she has an extremely small kitchen with very little counter space etc recently i moved to a older home new home to me with lots of charm and very little counter space no room for an over the range microwave my new little whirlpool cube fits perfectly into the corner space of my new little kitchen love it love it love it however 25 00 would have been an easier price on the pocket book lol,2015-08-24,2015,8,24,0.5,552,this is a funny story  this is a funny story years ago my husband found one of these cube microwaves at a garage sale for 25 00 it was perfect for our daughter as she has an extremely small kitchen with very little counter space etc recently i moved to a older home new home to me with lots of charm and very little counter space no room for an over the range microwave my new little whirlpool cube fits perfectly into the corner space of my new little kitchen love it love it love it however 25 00 would have been an easier price on the pocket book lol,0.9859
18,18,46694531,R3U4EMQXXN5ZWA,B008MD2RH6,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,love to nuke,good price has continued to work very well since december 2014 8 months my only recent complaint is that the glass carousel no longer seems to fit tightly over the plastic gear in the center it therefore makes a rattling sound as the gear turns i don t see what could cause the loose fit nevertheless the carousel does turn just not very quietly br br otherwise great buy it is still easy to clean i love using the 1 2 and 3 settings for one touch cooking times of 1 2 or 3 minutes i really like being able to turn the microwave on for 30 seconds by simply touching 34 start 34 one time some people have complained that the door is hard to open so that when the large 34 open 34 button is pushed the entire microwave moves but i have not had that experience i seldom use the programmed settings for vegetables popcorn potato etc i had a bad experience burning a minibag of popcorn the microwave didn t sense a need to stop cooking however it s fine for baking a potato br br i do not understand the benefit of the rather extreme concave back to the interior which contributes to the 1 4 cu ft interior volume but the size is right for me regardless certainly this was the best buy on amazon for my purposes ,2015-08-24,2015,8,24,,1219,love to nuke good price has continued to work very well since december 2014 8 months my only recent complaint is that the glass carousel no longer seems to fit tightly over the plastic gear in the center it therefore makes a rattling sound as the gear turns i don t see what could cause the loose fit nevertheless the carousel does turn just not very quietly br br otherwise great buy it is still easy to clean i love using the 1 2 and 3 settings for one touch cooking times of 1 2 or 3 minutes i really like being able to turn the microwave on for 30 seconds by simply touching 34 start 34 one time some people have complained that the door is hard to open so that when the large 34 open 34 button is pushed the entire microwave moves but i have not had that experience i seldom use the programmed settings for vegetables popcorn potato etc i had a bad experience burning a minibag of popcorn the microwave didn t sense a need to stop cooking however it s fine for baking a potato br br i do not understand the benefit of the rather extreme concave back to the interior which contributes to the 1 4 cu ft interior volume but the size is right for me regardless certainly this was the best buy on amazon for my purposes ,0.9197
19,19,20673186,RCFH27W77OTPH,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,this is a great product the size is perfect and it works ,although it slides when you open the door this is a great product the size is perfect and it works great br br because of how my kitchen is designed i cant push my microwave against the wall if you can then your microwave will not slide ,2015-08-24,2015,8,24,,294,this is a great product the size is perfect and it works  although it slides when you open the door this is a great product the size is perfect and it works great br br because of how my kitchen is designed i cant push my microwave against the wall if you can then your microwave will not slide ,0.967
20,20,16397097,R2R63T6FP7G9JL,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,four stars,solid microwave for a good price ,2015-08-24,2015,8,24,,43,four stars solid microwave for a good price ,0.5423
21,21,12457810,RLQM6VC4WYV08,B007XZ8FNO,565072108,lg over-the-range microwave oven with 300 cfm venting system,1,1,1,N,N,no timer,this microwave has every button in the world except a simple timer we used our microwave timer for everything it s so stupid that a microwave this expensive doesn t include a basic kitchen timer ,2015-08-24,2015,8,24,1.0,203,no timer this microwave has every button in the world except a simple timer we used our microwave timer for everything it s so stupid that a microwave this expensive doesn t include a basic kitchen timer ,-0.7626
22,22,14228362,R3YSEIBEK0XYT,B00DUZ8LBW,930071734,ge microwave oven magnetron and diode kit om75p (10) part # wb27x10017,5,0,0,N,Y,timely delivery good product ,prompt delivery my microwave is back up and running ,2015-08-24,2015,8,24,,81,timely delivery good product  prompt delivery my microwave is back up and running ,0.4404
23,23,42678211,R9HXJK5NX9IPY,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,five stars,very attractive and useful mircorwave,2015-08-24,2015,8,24,,47,five stars very attractive and useful mircorwave,0.7474
24,24,14546777,R14FJ9TGHJN8X8,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",5,0,0,N,Y,whirlpool wmc20005yw 0 5 cubic ft microwave white,although only 5 it holds a nice size dish i love that the controls are at the bottom counter space is limited so this is peer would be great in a dorm room too,2015-08-23,2015,8,23,,208,whirlpool wmc20005yw 0 5 cubic ft microwave white although only 5 it holds a nice size dish i love that the controls are at the bottom counter space is limited so this is peer would be great in a dorm room too,0.8807
25,25,13560534,R36FKD0RA85LD2,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,3,1,2,N,Y,danby 1 1 cuft microwave good unit,unit is lighter than expected cooks as expected door latch is hard to push but not hard enough to move unit while opening light comes on as unit runs not as door opens buttons are convenient for cooking but read directions some difference to set power levels than other microwaves i have owned went with this unit due to reviews size and price ,2015-08-21,2015,8,21,0.5,378,danby 1 1 cuft microwave good unit unit is lighter than expected cooks as expected door latch is hard to push but not hard enough to move unit while opening light comes on as unit runs not as door opens buttons are convenient for cooking but read directions some difference to set power levels than other microwaves i have owned went with this unit due to reviews size and price ,0.0387
26,26,1316798,RV08WAK7KQ5C8,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,5,1,2,N,Y,five stars,extremly satisfied,2015-08-21,2015,8,21,0.5,28,five stars extremly satisfied,0.4215
27,27,16996448,RUMJPRPFJFIZ2,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,5,0,0,N,Y,worked well on sharp carousel ii,worked well on an old sharp carousel ii microwave 1 can was enough for 2 coats first make sure you sand down and prime any rust spots so they won t show through ,2015-08-20,2015,8,20,,193,worked well on sharp carousel ii worked well on an old sharp carousel ii microwave 1 can was enough for 2 coats first make sure you sand down and prime any rust spots so they won t show through ,0.8583
28,28,42040790,R29HSQ1GJXRRXH,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,great purchase the microwave does the job and was ,great purchase the microwave does the job and was a great price ,2015-08-20,2015,8,20,,114,great purchase the microwave does the job and was  great purchase the microwave does the job and was a great price ,0.9231
29,29,19768842,RRO2C7LNHYSSL,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,5,0,0,N,Y,five stars,excellent results,2015-08-20,2015,8,20,,27,five stars excellent results,0.5719
30,30,36581725,ROKWTKVHCUN0D,B0052G51AQ,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,five stars,works great product was as describer and delivered promptly and on time ,2015-08-20,2015,8,20,,82,five stars works great product was as describer and delivered promptly and on time ,0.6249
31,31,9939829,R23IP4R4VPCU7W,B005GSZB3M,109226352,whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave,5,2,2,N,Y,truckers mucrowave,perfect for semi truck at 750 watts can run on1000 watt inverter,2015-08-20,2015,8,20,1.0,82,truckers mucrowave perfect for semi truck at 750 watts can run on1000 watt inverter,0.5719
