Year,预测_江苏省,预测_山东省,预测_河南省,生态_江苏省,生态_山东省,生态_河南省
2005,336.5083526,744.3135434,994.2646253,336.5083526,744.3135434,994.2646253
2006,339.6632865,744.6706174,997.2233955,339.6632865,744.6706174,997.2233955
2007,342.3917908,745.1106464,1000.367297,342.3917908,745.1106464,1000.367297
2008,344.6684562,745.6387102,1003.706889,344.6684562,745.6387102,1003.706889
2009,346.481283,746.2573544,1007.246837,346.481283,746.2573544,1007.246837
2010,456.3778178,747.2602516,1053.536526,456.3778178,747.2602516,1053.536526
2011,462.5836744,748.075414,1060.004686,462.5836744,748.075414,1060.004686
2012,467.3042462,748.9818244,1066.183999,467.3042462,748.9818244,1066.183999
2013,470.7994259,749.9803571,1072.206977,470.7994259,749.9803571,1072.206977
2014,473.2464652,751.0716107,1078.162693,473.2464652,751.0716107,1078.162693
2015,463.3875108,775.7474313,1161.660468,463.3875108,775.7474313,1161.660468
2016,463.6339661,777.7811364,1171.280299,463.6339661,777.7811364,1171.280299
2017,463.1726343,779.8143228,1180.495613,463.1726343,779.8143228,1180.495613
2018,462.0443435,781.8637323,1189.419303,462.0443435,781.8637323,1189.419303
2019,460.280632,783.942386,1198.137994,460.280632,783.942386,1198.137994
2020,457.9062483,786.060561,1206.719252,457.9062483,786.060561,1206.719252
2021,454.9408847,788.2264742,1215.216539,472.3760857,810.9000747,1244.85158
2022,450.5771833,796.0802479,1244.29674,487.3031701,836.5245171,1284.18889
2023,443.7902056,803.5914171,1270.119502,502.7019502,862.9586918,1324.769259
2024,434.915068,811.0383654,1294.542476,518.5873319,890.2281865,1366.631968
2025,424.1405274,818.588947,1318.541289,534.9746915,918.3593972,1409.817538
