Year,预测江苏省,预测山东省,预测河南省
2005,35409.99949,48577.31874,36963.91967
2006,46282.34983,65659.1269,44638.55584
2007,45492.33756,76103.54497,48125.24334
2008,50474.89908,78168.79546,52718.4255
2009,52445.73729,88579.65362,54665.91354
2010,57693.39659,97792.87504,58308.24793
2011,66125.62714,98752.88508,62193.62899
2012,71781.38708,105861.5816,65095.04363
2013,68507.22356,105037.6785,59161.77347
2014,70338.90929,100584.4758,60384.93403
2015,70103.75209,104415.5085,60234.02345
2016,74901.43401,110976.8005,58732.50384
2017,76634.53439,110389.0544,55359.12524
2018,73396.12367,102751.4729,51817.90213
2019,70707.78877,103852.6032,49696.51064
2020,70608.79084,106935.4787,45336.41247
2021,69170.28297,105473.4139,41542.90018
2022,63389.32175,97585.35727,37258.54928
2023,59841.85679,90560.88428,32918.16684
2024,57052.84019,84743.20082,28612.1935
2025,54240.62252,79007.23133,24577.51405
