年份,自然保护区面积(万公顷),森林病虫鼠害防治率(%),森林覆盖率(%),水土流失治理面积,降水量,地表水供水总量(亿立方米),地表水水质达标率/%,空气质量优良天数,市区PM2.5浓度/微克每立方米
2000,9.5,97,22.3,5328.3,5647.9,34,50,169,68
2001,18.9,94.5,22.3,5485.6,4943.3,34.9,52,183.5,65
2002,28.3,92,22.3,5642.9,9679.4,35.8,54,198,62
2003,37.7,89.5,22.3,5791.7,13328,36.7,56,212.5,59
2004,47.1,87,22.3,5876.5,11897,37.6,58,227,57
2005,56.5,84.5,22.3,5981.2,11798,38.5,60,256,55
2006,59.7,81,22.3,6076.2,10346,38.7,62,277,53
2007,56.6,90.8,22.3,6133.7,11710,38.9,64,306,52
2008,56.7,95.8,22.3,6194,12632,37.8,72,320,51
2009,57.2,100,23.4,6230.7,11604,37.5,75,334,51
2010,58.7,100,23.4,6290.3,11717,36.1,78.3,337,50
2011,58.7,82.7,23.4,6351.5,14353,38.5,84.6,339,50
2012,69.3,77.7,23.4,6411.5,11959,41.3,56,340,50
2013,70.7,81.8,23.4,4679.1,10421,43.1,68,265,50
2014,70.5,83.9,26.8,4826.4,12150,46.8,84,242,52
2015,70,78.5,26.8,5061.6,14254,48.7,88,269,43
2016,71,90.7,26.8,5187.9,11918,51.5,100,275,40
2017,70.9,94.5,26.8,5379.1,11984,59.4,100,291,35
2018,70.8,94.1,26.8,5532.5,10743,70.4,100,299.5,32
2019,70.7,92.4,26.8,5722.2,9501.7,78.3,100,308,29
2020,70.6,91.8,26.8,5934.4,8260.4,84.8,100,322,27
