,Date,Value,High,Low,TR,ATR,Unit,upper_bound,lower_bound,Value Shift
0,2016-09-12,1324.6,,,,,,,,
1,2016-09-13,1323.65,,,,,,,,1324.6
2,2016-09-14,1321.75,,,,,,,,1323.65
3,2016-09-15,1310.8,,,,,,,,1321.75
4,2016-09-16,1308.35,,,,,,,,1310.8
5,2016-09-19,1314.85,,,,,,,,1308.35
6,2016-09-20,1313.8,,,,,,,,1314.85
7,2016-09-21,1326.1,1324.6,1308.35,,,,,,1313.8
8,2016-09-22,1339.1,1326.1,1308.35,17.75,,,,,1326.1
9,2016-09-23,1338.65,1339.1,1308.35,30.75,,,,,1339.1
10,2016-09-26,1340.5,1339.1,1308.35,30.75,,,,,1338.65
11,2016-09-27,1327.0,1340.5,1308.35,32.15000000000009,,,,1308.35,1340.5
12,2016-09-28,1322.5,1340.5,1313.8,26.700000000000045,,,,1308.35,1327.0
13,2016-09-29,1318.1,1340.5,1313.8,26.700000000000045,,,,1308.35,1322.5
14,2016-09-30,1322.5,1340.5,1318.1,22.40000000000009,,,,1308.35,1318.1
15,2016-10-03,1313.3,1340.5,1318.1,22.40000000000009,,,,1308.35,1322.5
16,2016-10-04,1283.3,1340.5,1313.3,27.200000000000045,,,,1313.8,1313.3
17,2016-10-05,1269.4,1340.5,1283.3,57.200000000000045,,,,1313.3,1283.3
18,2016-10-06,1254.5,1327.0,1269.4,57.59999999999991,,,,1283.3,1269.4
19,2016-10-07,1258.75,1322.5,1254.5,68.0,,,,1269.4,1254.5
20,2016-10-10,1259.5,1322.5,1254.5,68.0,,,,1254.5,1258.75
21,2016-10-11,1253.45,1322.5,1254.5,68.0,,,1340.5,1254.5,1259.5
22,2016-10-12,1256.5,1313.3,1253.45,59.84999999999991,,,1340.5,1254.5,1253.45
23,2016-10-13,1261.05,1283.3,1253.45,29.84999999999991,,,1340.5,1253.45,1256.5
24,2016-10-14,1251.75,1269.4,1253.45,15.950000000000045,,,1340.5,1253.45,1261.05
25,2016-10-17,1254.8,1261.05,1251.75,9.299999999999955,,,1340.5,1253.45,1251.75
26,2016-10-18,1258.2,1261.05,1251.75,9.299999999999955,,,1340.5,1251.75,1254.8
27,2016-10-19,1269.05,1261.05,1251.75,9.299999999999955,34.4575,0.290212580715374,1340.5,1251.75,1258.2
28,2016-10-20,1271.65,1269.05,1251.75,17.299999999999955,33.599625,0.29762236929727637,1340.5,1251.75,1269.05
29,2016-10-21,1266.05,1271.65,1251.75,19.90000000000009,32.91464375,0.3038161395868062,1340.5,1251.75,1271.65
30,2016-10-24,1265.55,1271.65,1251.75,19.90000000000009,32.26391156250001,0.3099438200674617,1340.5,1251.75,1266.05
31,2016-10-25,1269.4,1271.65,1251.75,19.90000000000009,31.645715984375016,0.31599853847318454,1340.5,1251.75,1265.55
32,2016-10-26,1270.5,1271.65,1254.8,16.850000000000136,30.905930185156272,0.32356249885023275,1327.0,1251.75,1269.4
33,2016-10-27,1266.25,1271.65,1258.2,13.450000000000045,30.033133675898462,0.33296558753790595,1322.5,1251.75,1270.5
34,2016-10-28,1273.0,1271.65,1265.55,6.100000000000136,28.83647699210355,0.34678299997389955,1322.5,1251.75,1266.25
35,2016-10-31,1272.0,1273.0,1265.55,7.4500000000000455,27.767153142498376,0.36013774796000714,1322.5,1251.75,1273.0
36,2016-11-01,1288.45,1273.0,1265.55,7.4500000000000455,26.751295485373458,0.3738136721441248,1313.3,1254.8,1272.0
37,2016-11-02,1303.75,1288.45,1265.55,22.90000000000009,26.55873071110479,0.3765240179877565,1283.3,1258.2,1288.45
38,2016-11-03,1301.0,1303.75,1266.25,37.5,27.10579417554955,0.36892481125014875,1288.45,1265.55,1303.75
39,2016-11-04,1302.8,1303.75,1266.25,37.5,27.62550446677207,0.3619843399431127,1303.75,1265.55,1301.0
40,2016-11-07,1283.05,1303.75,1266.25,37.5,28.119229243433466,0.3556285242894859,1303.75,1265.55,1302.8
41,2016-11-08,1282.35,1303.75,1272.0,31.75,28.300767781261793,0.353347304118763,1303.75,1265.55,1283.05
42,2016-11-09,1281.4,1303.75,1272.0,31.75,28.473229392198704,0.3512070886746647,1303.75,1266.25,1282.35
43,2016-11-10,1267.5,1303.75,1281.4,22.34999999999991,28.167067922588764,0.35502452820019775,1303.75,1266.25,1281.4
