Date,Value,High,Low,TR,ATR,Unit,upper_bound,lower_bound,Value Shift,Predict
2016/9/11,621.65,,,,,,,,,621.65
2016/9/12,609.67,,,,,,,,621.65,717.4340966
2016/9/13,610.92,,,,,,,,609.67,706.3312571
2016/9/14,608.82,,,,,,,,610.92,707.4896097
2016/9/15,610.38,,,,,,,,608.82,705.5436928
2016/9/16,609.11,,,,,,,,610.38,706.98938
2016/9/17,607.04,,,,,,,,609.11,705.812576
2016/9/18,611.58,621.65,607.04,,,,,,607.04,703.894477
2016/9/19,610.19,611.58,607.04,4.54,,,,,611.58,708.1012168
2016/9/20,608.66,611.58,607.04,4.54,,,,,610.19,706.8133876
2016/9/21,598.88,611.58,607.04,4.54,,,,,608.66,705.3953775
2016/9/22,597.42,611.58,598.88,12.7,,,,607.04,598.88,696.3345852
2016/9/23,594.08,611.58,597.42,14.16,,,,598.88,597.42,694.9821761
2016/9/24,603.88,611.58,594.08,17.5,,,,597.42,594.08,691.8881182
2016/9/25,601.74,611.58,594.08,17.5,,,,594.08,603.88,700.9664816
2016/9/26,598.98,610.19,594.08,16.11,,,,594.08,601.74,698.9839436
2016/9/27,605.96,608.66,594.08,14.58,,,,594.08,598.98,696.4271943
2016/9/28,605.67,605.96,594.08,11.88,,,,594.08,605.96,702.8937358
2016/9/29,603.85,605.96,594.08,11.88,,,,594.08,605.67,702.6249231
2016/9/30,609.39,605.96,594.08,11.88,,,,594.08,603.85,700.9388045
2016/10/1,614.82,609.39,598.98,10.41,,,,594.08,609.39,706.0718813
2016/10/2,612.98,614.82,598.98,15.84,,,621.65,594.08,614.82,711.1038277
2016/10/3,611.85,614.82,598.98,15.84,,,614.82,594.08,612.98,709.3987647
2016/10/4,609.62,614.82,603.85,10.97,,,614.82,594.08,611.85,708.3513317
2016/10/5,607.18,614.82,603.85,10.97,,,614.82,598.98,609.62,706.2851286
2016/10/6,612.08,614.82,603.85,10.97,,,614.82,598.98,607.18,704.0241649
2016/10/7,617.21,614.82,607.18,7.64,,,614.82,598.98,612.08,708.5643677
2016/10/8,614.74,617.21,607.18,10.03,11.724,0.852951211,614.82,603.85,617.21,713.3186982
2016/10/9,615.65,617.21,607.18,10.03,11.6393,0.859158197,617.21,603.85,614.74,711.0295996
2016/10/10,617.54,617.21,607.18,10.03,11.558835,0.865139091,617.21,603.85,615.65,711.873011
2016/10/11,614.77,617.54,607.18,10.36,11.49889325,0.869648912,617.21,607.18,617.54,713.624801
2016/10/12,635.01,617.54,607.18,10.36,11.44194859,0.873977009,617.54,607.18,614.77,711.0574527
2016/10/13,635.96,635.01,612.08,22.93,12.01635116,0.832199381,617.54,607.18,635.01,729.8200821
2016/10/14,634.02,635.96,614.74,21.22,12.4765336,0.801504674,635.01,607.18,635.96,730.7008893
2016/10/15,637.94,635.96,614.74,21.22,12.91370692,0.774370989,635.96,607.18,634.02,728.9022313
2016/10/16,641.42,637.94,614.77,23.17,13.42652157,0.744794543,635.96,607.18,637.94,732.5368725
2016/10/17,638.97,641.42,614.77,26.65,14.0876955,0.709839306,637.94,612.08,641.42,735.76421
2016/10/18,636.29,641.42,614.77,26.65,14.71581072,0.679541222,641.42,614.74,638.97,733.4921191
2016/10/19,629.25,641.42,634.02,7.4,14.35002018,0.696863131,641.42,614.74,636.29,731.006816
2016/10/20,627.72,641.42,629.25,12.17,14.24101918,0.702196934,641.42,614.77,629.25,724.4793215
2016/10/21,631.92,641.42,627.72,13.7,14.21396822,0.703533302,641.42,614.77,627.72,723.0609241
2016/10/22,655.48,641.42,627.72,13.7,14.18826981,0.704807573,641.42,614.77,631.92,726.954765
2016/10/23,653.25,655.48,627.72,27.76,14.86685632,0.672637159,641.42,627.72,655.48,748.8058183
2016/10/24,651.39,655.48,627.72,27.76,15.5115135,0.644682416,655.48,627.72,653.25,746.7369743
2016/10/25,655.31,655.48,627.72,27.76,16.12393782,0.620195892,655.48,627.72,651.39,745.0116289
2016/10/26,651.45,655.48,627.72,27.76,16.70574093,0.598596617,655.48,627.72,655.31,748.6481716
2016/10/27,682.22,655.48,627.72,27.76,17.25845389,0.57942618,655.48,627.72,651.45,745.0671943
2016/10/28,687.68,682.22,631.92,50.3,18.91053119,0.528805875,655.48,627.72,682.22,773.6223683
2016/10/29,685.91,687.68,651.39,36.29,19.77950463,0.505573834,682.22,627.72,687.68,778.6917809
2016/10/30,698,687.68,651.39,36.29,20.6050294,0.485318405,687.68,627.72,685.91,777.0482343
2016/10/31,702,698,651.39,46.61,21.90527793,0.456510985,687.68,627.72,698,788.2753389
2016/11/1,697.01,702,651.45,50.55,23.33751403,0.428494654,698,631.92,702,791.9905817
2016/11/2,733.33,702,651.45,50.55,24.69813833,0.404888817,702,651.39,697.01,787.3557979
2016/11/3,686.17,733.33,682.22,51.11,26.01873142,0.384338492,702,651.39,733.33,821.1038045
2016/11/4,683.69,733.33,685.91,47.42,27.08879485,0.369156327,733.33,651.39,686.17,777.2896164
2016/11/5,704.79,733.33,683.69,49.64,28.2163551,0.354404386,733.33,651.45,683.69,774.9870314
2016/11/6,712,733.33,683.69,49.64,29.28753735,0.34144216,733.33,651.45,704.79,794.5822971
2016/11/7,709.96,733.33,683.69,49.64,30.30516048,0.329976804,733.33,682.22,712,801.280467
2016/11/8,708.97,733.33,683.69,49.64,31.27190246,0.319775876,733.33,683.69,709.96,799.3850449
2016/11/9,720.93,733.33,683.69,49.64,32.19030733,0.310652517,733.33,683.69,708.97,798.4652926
2016/11/10,721.5,720.93,683.69,37.24,32.44279197,0.308234877,733.33,683.69,720.93,809.5783085
2016/11/11,715.45,721.5,683.69,37.81,32.71115237,0.305706136,733.33,683.69,721.5,810.107976
2016/11/12,703.71,721.5,704.79,16.71,31.91109475,0.313370634,733.33,683.69,715.45,804.4861487
2016/11/13,702.28,721.5,703.71,17.79,31.20504001,0.320461054,733.33,683.69,703.71,793.5790206
2016/11/14,706.46,721.5,702.28,19.22,30.60578801,0.326735583,733.33,683.69,702.28,792.2505561
2016/11/15,710.91,721.5,702.28,19.22,30.03649861,0.332928286,733.33,683.69,706.46,796.1334812
2016/11/16,711.73,721.5,702.28,19.22,29.49567368,0.339032772,733.33,702.28,710.91,800.2676831
2016/11/17,736.96,721.5,702.28,19.22,28.98189,0.34504306,733.33,702.28,711.73,801.0296478
2016/11/18,747.52,736.96,702.28,34.68,29.2667955,0.341684145,733.33,702.28,736.96,824.4784361
2016/11/19,748.98,747.52,702.28,45.24,30.06545572,0.332607631,736.96,702.28,747.52,834.2974606
