Date,Value,High,Low,TR,ATR,Unit,upper_bound,lower_bound,Value Shift,Predict
2016/9/11,1324.6,,,,,,,,,1324.6
2016/9/12,1324.6,,,,,,,,1324.6,1321.662817
2016/9/13,1323.65,,,,,,,,1324.6,1321.662817
2016/9/14,1321.75,,,,,,,,1323.65,1320.714561
2016/9/15,1310.8,,,,,,,,1321.75,1318.818274
2016/9/16,1308.35,,,,,,,,1310.8,1307.893762
2016/9/17,1314.85,,,,,,,,1308.35,1305.450454
2016/9/18,1314.85,1324.6,1308.35,,,,,,1314.85,1311.933466
2016/9/19,1314.85,1324.6,1308.35,16.25,,,,,1314.85,1311.933466
2016/9/20,1313.8,1323.65,1308.35,15.3,,,,,1314.85,1311.933466
2016/9/21,1326.1,1321.75,1308.35,13.4,,,,,1313.8,1310.886027
2016/9/22,1339.1,1326.1,1308.35,17.75,,,,,1326.1,1323.160114
2016/9/23,1338.65,1339.1,1308.35,30.75,,,,,1339.1,1336.142397
2016/9/24,1340.5,1339.1,1313.8,25.3,,,,,1338.65,1335.692848
2016/9/25,1340.5,1340.5,1313.8,26.7,,,,,1340.5,1337.541101
2016/9/26,1340.5,1340.5,1313.8,26.7,,,,,1340.5,1337.541101
2016/9/27,1327,1340.5,1313.8,26.7,,,,,1340.5,1337.541101
2016/9/28,1322.5,1340.5,1326.1,14.4,,,,,1327,1324.058582
2016/9/29,1318.1,1340.5,1322.5,18,,,,,1322.5,1319.566789
2016/9/30,1322.5,1340.5,1318.1,22.4,,,,,1318.1,1315.175947
2016/10/1,1313.3,1340.5,1318.1,22.4,,,,,1322.5,1319.566789
2016/10/2,1313.3,1340.5,1313.3,27.2,,,,,1313.3,1310.387307
2016/10/3,1313.3,1340.5,1313.3,27.2,,,,,1313.3,1310.387307
2016/10/4,1283.3,1327,1313.3,13.7,,,,,1313.3,1310.387307
2016/10/5,1269.4,1322.5,1283.3,39.2,,,,,1283.3,1280.490636
2016/10/6,1254.5,1322.5,1269.4,53.1,,,,,1269.4,1266.658494
2016/10/7,1258.75,1322.5,1254.5,68,,,,,1254.5,1251.846391
2016/10/8,1259.5,1313.3,1254.5,58.8,28.1625,0.355082113,,,1258.75,1256.06966
2016/10/9,1259.5,1313.3,1254.5,58.8,29.694375,0.336764118,,,1259.5,1256.815089
2016/10/10,1259.5,1313.3,1254.5,58.8,31.14965625,0.32103083,,,1259.5,1256.815089
2016/10/11,1253.45,1283.3,1254.5,28.8,31.03217344,0.322246201,,,1259.5,1256.815089
2016/10/12,1256.5,1269.4,1253.45,15.95,30.27806477,0.330272099,,,1253.45,1250.803203
2016/10/13,1261.05,1259.5,1253.45,6.05,29.06666153,0.344036758,,,1256.5,1253.833654
2016/10/14,1251.75,1261.05,1253.45,7.6,27.99332845,0.357227974,,,1261.05,1258.355749
2016/10/15,1254.8,1261.05,1251.75,9.3,27.05866203,0.369567423,,,1251.75,1249.1144
2016/10/16,1254.8,1261.05,1251.75,9.3,26.17072893,0.382106285,,,1254.8,1252.144459
2016/10/17,1254.8,1261.05,1251.75,9.3,25.32719248,0.39483255,,,1254.8,1252.144459
2016/10/18,1258.2,1261.05,1251.75,9.3,24.52583286,0.40773335,,,1254.8,1252.144459
2016/10/19,1269.05,1261.05,1251.75,9.3,23.76454121,0.420794995,,,1258.2,1255.523046
2016/10/20,1271.65,1269.05,1251.75,17.3,23.44131415,0.426597243,,,1269.05,1266.310372
