,State,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,Alabama,70523.744,66831.52775043527,63332.61463624506,60016.884420796414,56874.7467046435,53897.11318631011,51075.37137533757,48401.359681565686,45867.343808595244,43465.99438315255,41190.365755651364,39033.87591063505,36990.287428992044,35053.689446879886,33218.48055917583,31479.35261800414,29831.275379479015,28269.48195425541,26789.455019805097,25386.913754538353,24057.801455979657,22798.273807184236,21604.68775745733,20473.590985214832,19401.711912507744,18385.950242328483,17423.367991329247,16511.180992015485,15646.750839835477,14827.57726187383,14051.29088507615,13315.64638308773,12618.51598188421,11957.883305409956,11331.837543423277,10738.567924679623,10176.358479467004,9643.583076344845,9138.700718730537,8660.251087729583,8206.850318317429,7777.186996656045,7370.018366967908,6984.166736996172,6618.516071654202
1,Alaska,2923.264,2978.999808478058,3035.798292221403,3093.679712508201,3152.6647169240905,3212.774346727629,3274.03004435618,3336.4536610749037,3400.0674647715887,3464.8941479001,3530.956835575282,3598.2790938221983,3666.884937982655,3736.7988412820073,3808.0457435592984,3880.6510601638556,3954.6406910215082,4030.0410298736642,4106.878973692544,4185.181932275926,4264.977838024828,4346.295155907617,4429.162893614091,4513.6106119031665,4599.668435147856,4687.367062081301,4776.737776747687,4867.812459661962,4960.623599182314,5055.204303099497,5151.588310447109,5249.810003537053,5349.904420224472,5451.90726640653,5555.854928759491,5661.784487718659,5769.733730705788,5879.741165608694,5991.846034517872,6106.08832772502,6222.50879798846,6341.148975070556,6462.051180552294,6585.258542930331,6710.815013001888
2,Arizona,55907.424,53313.58554675126,50840.08885565474,48481.35064156031,46232.04665718223,44087.09967497484,42041.66802659197,40091.134674060966,38231.09678800216,36457.355809369445,34765.90797227872,33152.9352665321,31614.796819437892,30148.020677473203,28749.295969238243,27415.46543201229,26143.51828504188,24930.583433474523,23773.92298759756,22670.926082753496,21619.10298598184,20616.079476084757,19659.591484430897,18747.47998440045,17877.686117935613,17048.246548195955,16257.28902782843,15503.028172848593,14783.761432593608,14097.86524665027,13443.791380083272,12820.06342869145,12225.273486403503,11658.078967290698,11117.199575023062,10601.414412928392,10109.559228130769,9640.523783547931,9193.249351815472,8766.726325481026,8359.991938074074,7972.128090907265,7602.259280703815,7249.550623373142,6913.205969473892
3,Arkansas,42570.032,41690.57924826154,40829.29507911989,39985.804148484145,39159.738866483436,38350.739237272726,37558.452702148126,36782.53398590326,36022.64494635977,35278.454427006305,34549.63811268194,33835.87838824091,33136.864200137265,32452.290920869018,31781.86021622273,31125.279915260682,30482.263882994,29852.5318956862,29235.809518732825,28631.827987064,28040.324088017707,27461.040046632792,26893.7234133117,26338.126953803992,25794.008541462663,25261.131051726352,24739.262258781437,24228.174734358985,23727.645748622446,23237.457173102906,22757.395385639607,22287.251177284284,21826.81966112877,21375.900183016125,20934.29623409638,20501.815365188788,20078.269102913277,19663.47286755451,19257.245892622817,18859.41114607691,18469.79525317403,18088.22842091396,17714.544364043944,17348.580232592238,16990.17654089878
4,California,5481.12,5178.664235188931,4892.89839682856,4622.9015117474755,4367.803427344684,4126.782007240409,3899.0604816747486,3683.904944114989,3480.621986003586,3288.5564620240093,3107.0893786823103,2935.635899399663,2773.643459686656,2620.5899863248715,2475.982214816472,2339.354099679252,2210.265312463793,2088.2998226521104,1973.0645568642672,1864.1881320518212,1761.3196585954015,1664.127609449015,1572.298751686529,1485.5371370068945,1403.5631479446836,1326.112596712045,1252.9358737678047,1183.797143369699,1118.4735835171432,1056.75466783501,998.4414870840494,943.3461081113018,891.2909681745099,842.1083026885473,795.6396045495875,751.7351132945116,710.253332449205,671.0605735102409,634.0305250902841,599.0438458386448,565.9877798250396,534.7557931470064,505.24723058982335,477.3669912324075,451.02522195372785
5,Colorado,55542.015999999996,54038.51160318612,52575.706583781204,51152.499222811246,49767.81762447828,48420.61890885668,47109.88842644288,45834.63899396697,44593.91015089065,43386.767436031565,42212.30168376909,41069.62833930171,39957.886792440106,38876.23972943424,37823.87250234628,36799.992515494436,35803.828628505464,34834.63057552646,33891.668400158334,32974.23190568547,32081.630120187467,31213.190776130195,30368.25980404409,29546.200839908426,28746.39474587057,27968.239143939165,27211.147962300125,26474.550993913683,25757.893467060094,25060.635627510514,24382.252332008375,23722.232652755105,23080.079492602275,22455.30921066038,21847.451258042256,21256.047823466826,20680.65348845622,20120.8348918666,19576.170403500037,19046.249806551594,18530.673988652477,18029.054641276547,17541.013967283783,17066.18439638047,16604.208308281788
6,Connecticut,365.408,296.9665015873016,241.34420446460067,196.14005188234214,159.40270883136375,129.54632844707658,105.28209549984636,85.56259189828783,69.5365826221006,56.51227032145318,45.92743238822862,37.32515140122707,30.33409129750517,24.652467848131188,20.03502148927487,16.282430162712277,13.232705148109025,10.754198469574318,8.739920026066747,7.102919132295515,5.772531104341752,4.691326865750757,3.81263389724506,3.0985215164912234,2.518163518164296,2.046507494127174,1.6631933920525603,1.3516746297316047,1.09850382606759,0.8927523157882635,0.7255383899739538,0.5896438978835942,0.4792026598673019,0.3894472410350136,0.3165031546189317,0.25722161137284605,0.20904359527443997,0.16988939806430678,0.1380688441411509,0.11220833047661787,0.09119153206988627,0.07411121336473296,0.06023006546467187,0.048948878599860315,0.03978067594147378
7,Delaware,1461.632,1313.5957001680672,1180.552740703566,1060.9845734150808,953.5264509689862,856.9518497059298,770.1584701380247,692.1556553368604,622.053083606209,559.0506063779416,502.4291153412177,451.54233456264603,405.8094439129293,364.70844960401683,327.77022616828225,294.5731618750619,264.7383464675057,237.92524629271907,213.8278174612653,192.17101267175354,172.70764182951564,155.21555062657245,139.49508487928873,125.36681168174563,112.66947136414699,101.25813687997571,91.00255961320337,81.78568272464763,73.50230506885926,66.05788043152795,59.36743838193979,53.3546144231303,47.950778369896874,43.09425100600458,38.72960007953508,34.80700760089141,31.281701221817933,28.113443205213223,25.266071152853286,22.70708524890569,20.407277308044883,18.340397394135547,16.482854204279928,14.81344579842208,13.313117601065088
8,District of Columbia,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704,182.704
9,Florida,73447.008,71967.06848331269,70516.94939134645,69096.04984972738,67703.7810915554,66339.56621344165,65002.83993646156,63693.04837192473,62409.6487918644,61152.109404151604,59919.90913214067,58712.53739875477,57529.493914922205,56370.28847227551,55234.44074002774,54121.4800659416,53030.94528130897,51962.384509860094,50915.35498052321,49889.42284395696,48884.16299277971,47899.15888542114,46934.00237352322,45988.29353281901,45061.6404974192,44153.659297437734,43263.97369988928,42392.2150527925,41538.02213241466,40701.040993594244,39880.92482307944,39077.33379582192,38289.93493416622,37518.401969876395,36762.41520894287,36021.66139911332,35295.83360009287,34584.631056359605,33887.75907254295,33204.92889131303,32535.857573730613,31880.267882007924,31237.888164631815,30608.45224380169,29991.69930513551
