,GeoName,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,Alabama,7908.3,8131.555499415727,8361.113619877617,8597.152287717408,8839.854452221463,9089.408227431439,9346.007037948064,9609.84976885104,9881.140919851248,10160.090763794773,10446.915509641558,10741.83747004505,11045.085233662703,11356.893842330894,11677.504973241581,12007.167126261913,12346.135816541962,12694.673772559878,13053.05113975796,13421.545689927489,13800.4430365046,14190.036855944067,14590.629115342594,15002.530306488032,15426.059686515924,15861.545525359916,16309.325360187822,16769.746257020557,17243.16507973671,17729.948766671256,18230.47461502279,18745.13057328976,19274.31554196227,19818.439682702647,20377.924736254263,20953.20434932516,21544.724410699713,22152.943396838957,22778.33272723735,23421.37712981148,24082.57501660386,24762.438870093058,25461.49564040957,26180.287153765283,26919.370532413162
1,Alaska,2369.5,2452.011766739408,2537.396794356832,2625.755136800931,2717.190332142784,2811.8095239015265,2909.723586594841,3011.0472556614236,3115.8992619076653,3224.402470636097,3336.6840256186233,3452.875498083258,3573.11304088894,3697.5375480690896,3826.294819930866,3959.535733903578,4097.416421336456,4240.09845045295,4387.74901567595,4540.541133545763,4698.653845460435,4862.2724274759885,5031.588607412411,5206.800789519807,5388.114286967971,5575.741562431813,5769.902477054558,5970.8245480804535,6178.743215458865,6393.902117732189,6616.5533775308495,6846.957897009925,7085.385663573601,7332.116066245697,7587.438223056978,7851.651319832899,8125.06496077876,8407.99953127309,8700.786573294385,9003.769173921115,9317.302367360258,9641.753550975436,9977.50291580217,10324.943892054725,10684.483610146599
2,Arizona,12951.7,13841.368832416309,14792.15015441877,15808.24186105253,16894.130206140602,18054.609610017018,19294.803827878462,20620.18857221707,22036.615689217033,23550.33899585883,25168.04189180716,26896.866867994748,28744.44704218854,30718.93986077423,32829.06311555945,35084.13343461726,37494.107417114836,40069.625593746176,42822.05940686312,45763.561417731624,48907.11896258869,52266.61149440241,55856.871863510845,59693.75180770635,63794.19194091751,68176.2965495031,72859.41352639912,77864.21979604468,83212.81260725508,88928.80709711924,95037.44055668586,101565.683858793,108542.36054001756,115998.27406251633,123966.34381764544,132481.75047184242,141582.0912965027,151307.5461676639,161701.05496842074,172808.50717733847,184678.94447993717,197364.77729781758,210922.0161914496,225410.51915831422,240894.2559182709
3,Arkansas,4363.5,4382.051242274622,4400.68135439912,4419.3906716854435,4438.179530871107,4457.048270125252,4475.997229054731,4495.026748710222,4514.137171592365,4533.32884165793,4552.602104326002,4571.9573064842025,4591.394796494932,4610.91492420164,4630.51804093512,4650.204499519833,4669.974654280262,4689.828861047285,4709.767477164577,4729.79086149505,4749.899374427304,4770.093377882117,4790.37323531896,4810.739311742535,4831.1919737093485,4851.731589334305,4872.3585282973345,4893.073161850049,4913.875862822418,4934.7670056294855,4955.746966278104,4976.816122373704,4997.974853127091,5019.223539361268,5040.562563518293,5061.992309666161,5083.513163505715,5105.12551237759,5126.829745269185,5148.626252821661,5170.515427336976,5192.497662784943,5214.573354810321,5236.742900739937,5259.006699589837
4,California,97088.7,105575.84469444142,114804.90502957413,124840.73660026774,135753.86444405513,147620.9786434036,160525.47325175258,174558.032330526,189817.26721539066,206410.40949003716,224454.06453723472,244075.0309626066,265411.19164948276,288612.4827065603,313841.9471174809,341276.88049666194,371110.07700297795,403551.184166732,438828.1761507243,477188.9557985002,518903.09672789037,564263.737712097,613589.6426607564,667227.4406771315,725554.0619330413,788979.3864792082,857949.1246050731,932947.9489892971,1014502.9006515866,1103187.092640567,1199623.7374847215,1304490.5267085903,1418524.3931905178,1542526.6898285677,1677368.8209067758,1823998.3657351688,1983445.737596354,2156831.424793251,2345373.8646831512,2550398.0060314974,2773344.6198558067,3015780.4241900584,3279409.093919542,3566083.233055839,3877817.3935849876
5,Colorado,18185.7,20502.529402620235,23114.519204941644,26059.272374819015,29379.18243870822,33122.04379125133,37341.739757337105,42099.018312179185,47462.36662690473,53508.99702986718,60325.95857787001,68011.39023980546,76675.93373390578,86444.32635822454,97457.1967452008,109873.08939251304,123870.74711596033,139651.6842832287,157443.0878735674,177501.0881278772,200114.44587444465,225608.70961413952,254350.90221168863,286754.8046640014,323286.91301221895,364473.1541549321,410906.45724537596,463255.2896726458,522273.28051341296,588810.0699961605,663823.5411699939,748393.6098687036,843737.7714944265,951228.6284369451,1072413.6504584693,1209037.4525201705,1363066.9107685632,1536719.4782588077,1732495.1080563536,1953212.2432912183,2202048.392288228,2482585.8729046453,2798863.384624024,3155434.1508532106,3557431.4684559824
6,Connecticut,7184.7,7299.042726711694,7415.205189689602,7533.2163495871355,7653.105627959358,7774.902914598116,7898.638574983914,8024.343457856383,8152.048902905229,8281.786748583581,8413.589340045692,8547.489537210955,8683.520722956271,8821.716811438786,8962.11225655108,9104.742060510931,9249.64178258777,9396.847547968024,9546.396056761538,9698.324593151348,9852.671034689061,10009.473861738163,10168.772167067622,10330.60566559818,10495.01470430373,10662.0402722703,10831.724010915097,11004.108224368207,11179.2358900195,11357.150669233393,11537.896918234143,11721.51969916436,11908.064791319535,12097.57870256134,12290.108680912585,12485.702726336694,12684.409602704667,12886.278849952463,13091.360796431898,13299.706571458079,13511.368118056538,13726.398205913238,13944.850444530664,14166.779296593299,14392.240091545802
7,Delaware,2358.1,2510.189926767069,2672.0891685860925,2844.430394982487,3027.8870806476043,3223.1761372417477,3431.0607149400907,3652.3531846693672,3887.918312689314,4138.676639924489,4405.608079252209,4689.755744804084,4992.230028245285,5314.212937960815,5656.962718105454,6021.81876556769,6410.206864062136,6823.644755804206,7263.7480725400355,7732.236649108907,8230.941244210313,8761.810694639047,9326.91953094564,9928.476084282594,10568.831116116333,11250.487004528044,11976.10752300162,12748.528249912211,13570.7676493936,14446.038866886152,15377.762285459985,16369.578891980917,17425.36450535149,18549.244922428115,19745.612040801607,21019.14102144555,22374.808558300796,23817.912326189846,25354.091683059654,26989.349707453068,28730.07665732685,30583.074941888626,32555.58570403766,34655.31711728822,36890.47450775425
8,District of Columbia,1455.8,1475.7077797712159,1495.8877945303554,1516.3437670375406,1537.0794709609088,1558.0987315727696,1579.405426455282,1601.0034862157813,1622.8968952118885,1645.0896922865336,1667.585971513033,1690.389882950353,1713.505633408704,1736.9374872256008,1760.6897670525389,1784.7668546524258,1809.1731917079185,1833.9132806408138,1858.9916854426447,1884.413032516634,1910.1820115311625,1936.3033762849066,1962.7819455838087,1989.6226041300383,2016.83030342311,2044.4100626733243,2072.3669697276987,2100.7061820085623,2129.432927464984,2158.5525055372113,2188.0702881342995,2217.991720625108,2248.3223228428474,2279.0676901033667,2310.2334942373627,2341.8254846367063,2373.8494893150746,2406.3114159830907,2439.217253138163,2472.573071169228,2506.385023476603,2540.659347607147,2575.402366404952,2610.620489177763,2646.320212879353
9,Florida,45600.3,50075.021299340035,54988.84345342811,60384.85508113954,66310.37305337077,72817.35740805925,79962.86698048527,87809.55974421426,96426.24225009923,105888.47298129706,116279.22491503437,127689.61310103434,140219.69363663797,153979.34104472076,169089.211748009,185681.8020883671,203902.6101686792,223911.41170535365,245883.6610792227,270012.02987045655,296508.09636868944,325604.20087343483,357555.4830536606,392642.11923184426,431171.7792109396,473482.3241878263,519944.7694108684,570966.5375607107,626995.0313827544,688521.5568992265,756085.6316029396,830279.7154106916,911754.4058613728,1001224.1431147461,1099473.4747772356,1207363.9354901058,1325841.6016061746,1455945.3872009679,1598816.1541648703,1755706.7162614015,1927992.8248758018,2117185.232786419,2324942.9417444207,2553087.750028007,2803620.2275365856
10,Georgia,22364.9,24833.174139762068,27573.85625939519,30617.01032395982,33996.018270315864,37747.9461909191,41913.9509310331,46539.73155953245,51676.030665715014,57379.19098110814,63711.77343214249,70743.24340343398,78550.73273965232,87219.88584476995,96845.79915999358,107534.06432599937,119401.92647245988,132579.57034074207,147211.54834792382,163458.36625730473,181498.2438494541,201529.069907511,223770.57296198525,248466.73160708576,275888.4508285878,306336.5337012687,340144.9810540041,377684.65529826435,419367.34861044795,465650.3000940563,517041.21147280623,574103.8163344231,637464.0640170404,707816.9859724657,785934.319927018,872672.9754733135,968984.4339564721,1075925.185766976,1194668.3195322657,1326516.3903349293,1472915.7081156585,1635472.2029978717,1815969.0415689962,2016386.1873605382,2238922.120096005
11,Hawaii,5038.9,5383.830285009238,5752.372251440324,6146.142201264402,6566.867077961584,7016.392040318263,7496.688554677255,8009.86304113071,8558.166111575089,9144.002440143227,9769.941309301927,10438.7278778667,11153.295220351456,11916.77719045366,12732.522165089942,13604.107729258889,14535.35636613393,15530.352221197816,16593.4590139406,17729.339175675825,18942.974297407018,20239.686977421956,21625.164164431008,23105.48209862473,24687.132960033858,26377.05334106254,28182.654668065767,30111.855705389953,32173.117284428474,34375.47941000222,36728.600906801374,39242.80177976443,41929.108474172965,44799.30223395779,47865.97077029986,51142.56346712721,54643.450365620774,58383.98518641533,62380.57266589009,66650.74050186321,71213.21622422016,76088.00932760477,81296.49902637955,86861.52801671917,92807.50265704638
12,Idaho,3447.7,3672.4407562267625,3911.831397161991,4166.826885873242,4438.444435369183,4727.767566405914,5035.950429804246,5364.222410520288,5713.8930318356215,6086.357179230571,6483.100664779333,6905.70615426413,7355.859480652485,7835.356369122956,8346.109600466423,8890.156641438743,9469.667772503315,10086.95474538628,10744.480004980573,11444.866512386283,12190.90820827283,12985.581158302786,13832.055425078019,14733.707713966996,15694.134843259288,16717.168092381566,17806.888485412208,18967.64307086256,20204.06226266723,21521.078311559082,22923.944980513796,24418.258502752207,26009.979905904776,27705.458791392477,29511.4586638834,31435.183911867854,33484.30854698128,35667.00681672018,37991.9858126696,40468.52020432079,43106.48923703741,45916.41614176015,48909.510113660814,52097.71102720452,55493.737065994814
13,Illinois,27967.2,29837.287128157994,31832.421664240348,33960.965172792996,36231.83833240361,38654.558322067554,41239.278707473706,43996.83199437288,46938.7750273689,50077.437424397795,53425.97324988278,56998.41614312626,60809.738132980565,64875.91238528845,69213.98014606656,73842.1221609891,78779.73487048937,84047.51169981092,89667.52978469337,95663.34249615818,102060.07815216361,108884.54532982744,116165.34521957849,123932.99149211073,132220.03818049963,141061.21611343217,150493.57847133867,160556.6560754494,171292.6230605887,182746.4736260377,194966.21060522465,208003.04664453396,221911.61883437025,236750.21769199127,252581.03145577156,269470.40671472874,287489.1264656052,306712.706762836,327221.7132046563,349102.098581735,372445.563103412,397349.93871123996,423919.5990904791,452265.897097895,482507.631439109
14,Indiana,13556.3,13912.276326162826,14277.600272604666,14652.51729948244,15037.279312517489,15432.144832250326,15837.379167739886,16253.254594823953,16680.050539060547,17118.053763473185,17567.55856122618,18028.8669533594,18502.288891715387,18988.142467195135,19486.754123482504,19998.45887638083,20523.600538909133,21062.531952309124,21615.61522311828,22183.221966468227,22765.733555771938,23363.54137896746,23977.04710149042,24606.662936151915,25252.811920103166,25915.92819907303,26596.457319069315,27294.85652573992,28011.595071594937,28747.154531296117,29502.02912522557,30276.72605155108,31071.76582701116,31887.682636648828,32725.024692729057,33584.354603081105,34466.249749113165,35371.30267375335,36300.12147957766,37253.33023739243,38231.5694055458,39235.49626024991,40265.78533720299,41323.12888480806,42408.237329292686
15,Iowa,8371.5,8994.512813800804,9663.890671639116,10383.084092125435,11155.800383849191,11986.022755866388,12878.030850402944,13836.422803615998,14866.138948132322,15972.487279546003,17161.170818150495,18438.317006949655,19810.509297489094,21284.821086326894,22868.85217707995,24570.767956000956,26399.34148302894,28363.998715284826,30474.867096130787,32742.827760260985,35179.57162393121,37797.659649462155,40610.587594668694,43632.85558098638,46880.04283890604,50368.88801601517,54117.37546161932,58144.82793272462,62472.00619926351,67121.21606201025,72116.42333484364,77483.37738406908,83249.7438616225,89445.24731637082,96101.82441864412,103253.78858784321,110938.0068717476,119194.08998930363,128064.5965165284,137595.25226806957,147835.18600529246,158837.18268592586,170657.9555607214,183358.43851973442,197004.1001952169
16,Kansas,5974.1,6202.494505622103,6439.620711449821,6685.812437196869,6941.416264765153,7206.792026153188,7482.313310017632,7768.36798760106,8065.358758766376,8373.703718906538,8693.83694752769,9026.209119334282,9371.288138676455,9729.559798252842,10101.528462996092,10487.717780103872,10888.671416214913,11304.953822767855,11737.15103062038,12185.871475047239,12651.746852278604,13135.43300878455,13637.61086455757,14158.987371692912,14700.296509616182,15262.300318359275,15845.789971339262,16451.586889150432,17080.543895937495,17733.546419977814,18411.513740162856,19115.400280133574,19846.196951891616,20604.932550777838,21392.67520378192,22210.533873222004,23059.659917911165,23941.24871400851,24856.541337836665,25806.826313034697,26793.441424506054,27817.775601715148,28881.27087398383,29985.424400540396,31131.79057817893
