,GeoName,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,Alabama,38830.4,39360.58914285133,39898.01747271071,40442.78383322524,40994.98841765031,41554.73278727705,42122.119890111484,42697.25407980871,43280.241134865544,43871.18827807532,44470.20419624825,45077.39906020103,45692.8845450195,46316.77385059782,46949.1817224582,47590.224472854825,48240.02000216601,48898.68782057837,49566.349070067095,50243.126546676365,50929.144723103935,51624.52977159413,52329.4095871434,53043.913811022714,53768.17385462118,54502.32292361513,55246.49604246731,56000.830079260515,56765.46377087033,57540.537748481576,58326.19456345314,59122.57871353598,59929.83666944912,60748.11690181848,61577.56990848355,62418.34824217691,63270.60653858167,64134.50154477203,65010.19214804214,65897.8394051286,66797.60657183199,67709.65913304278,68634.16483317729,69571.2937070292,70521.21811104222
1,Alaska,2943.8,3143.9342821190835,3357.674696067544,3585.946254898609,3829.736858690221,4090.1015699202503,4368.167179503144,4665.137083248644,4982.296489846606,5321.017982916746,5682.767461194407,6069.11048255993,6481.719039366959,6922.378794391519,7392.99680871719,7895.609795000663,8432.392931835659,9005.669277361496,9617.919822855967,10271.794229821855,10970.122297034417,11715.926207176251,12512.433606059794,13363.09157104093,14271.58152907539,15241.835188979416,16278.051556845363,17384.715108250577,18566.615195904124,19828.866776722636,21176.932548036693,22616.64658872749,24154.239607606487,25796.365908306485,27550.132187381187,29423.12829024394,31423.460058049382,33559.784407670755,35841.34679658997,38278.02123483871,40880.353017151865,43659.60436026702,46627.80314287631,49797.79495916461,53183.29871120813
2,Arizona,37250.8,38492.21046581547,39774.991853722175,41100.52288030243,42470.22820888854,43885.57998077224,45348.09939744282,46859.358355554476,48420.9811363802,50034.64615156795,51702.08774707543,53425.09806722235,55205.5289808636,57045.294071753546,58946.370695240716,60910.80210350336,62940.69964161003,65038.24501676553,67205.69264318116,69445.37206508948,71759.69046050787,74151.1352284418,76622.2766623086,79175.77071245512,81814.3618407382,84540.88597023625,87358.27353326211,90269.55262095317,93277.85223782399,96386.4056647792,99598.5539342014,102917.74942084876,106347.55955242219,109891.67064378964,113553.89185898895,117338.15930526733,121248.54026355766,125289.23755993864,129464.59408277702,133779.097450407,138237.3848343634,142844.2479433527,147604.6381733187,152523.67192913772,157606.63612366337
3,Arkansas,20197.4,20734.599383925197,21286.086902862306,21852.242584801355,22433.45656550873,23030.129357368274,23642.672125372857,24271.506970456663,24917.067220363355,25579.7977282506,26260.15517923673,26958.608405100753,27675.638707352562,28411.74018889603,29167.42009451347,29943.199160406108,30739.611973031475,31557.20733748492,32396.54865567917,33258.21431458247,34142.79808478288,35050.90952965339,35983.17442539975,36940.23519228052,37922.75133729645,38931.39990865435,39966.87596231841,41029.89304097072,42121.183665710836,43241.49984083337,44391.6135720313,45572.31739838225,46784.42493848416,48028.77145111689,49306.21441081586,50617.6340987546,51963.934209343184,53346.042472960704,54764.911295250786,56221.51841342078,57716.86756999681,59251.98920449899,60827.941163513475,62445.80942965057,64106.708869891314
4,California,529087.2,562119.4805662968,597214.0517331045,634499.6676296578,674113.1208380609,716199.7442546637,760913.9442839408,808419.7673210409,858891.5016013052,912514.3166248067,969484.942501814,1030012.3917115475,1094318.7259222,1162639.8706855106,1235226.4809948262,1312344.8608821882,1394277.940428241,1481326.313769392,1573809.3419104412,1672066.3243886505,1776457.744087828,1887366.5897693718,2005199.7611723407,2130389.561837555,2263395.285132559,2404704.899296221,2554836.837685019,2714341.9007890257,2883805.2769956673,3063848.6895149807,3255132.6773429606,3458359.0186313414,3674273.3053546143,3903667.6787201553,4147383.7353570745,4406315.614945943,4681413.280617215,4973686.004153403,5284206.068781426,5614112.70313984,5964616.260853817,6337002.66105178,6732638.106114961,7152974.093968251,7599552.743301314
5,Colorado,40845.4,41260.14514256364,41679.10161696098,42102.3121851535,42529.82004330865,42961.66882620876,43397.902611704754,43838.56592521507,44283.703744270315,44733.36150310395,45187.58509728973,45646.42088842612,46109.91570886833,46578.116866508404,47051.07214960383,47528.829831655166,48011.438676333215,48498.94794245624,48991.40738901768,49488.86728026496,49991.378390829836,50498.992010910864,51011.759951508466,51529.734549713176,52052.96867404755,52581.51572986237,53115.429664787574,53654.76497423861,54199.57670697863,54749.92047073721,55305.85243788612,55867.42935117268,56434.708529511394,57007.74787383437,57586.60587300112,58171.341609768395,58762.014766820634,59358.68563286165,59961.41510876815,60570.26471380577,61185.2965919082,61806.573518020065,62434.15890450426,63068.116807614264,63708.51193403228
6,Connecticut,42065.1,42702.543673953405,43349.647004901875,44006.55637279564,44673.42037578892,45350.389863854034,46037.61797290487,46735.26015943745,47443.47423569544,48162.420405368524,48892.261299831785,49633.1620149342,50385.290148344655,51148.81583746388,51923.91179791088,52710.75336259259,53509.51852136561,54320.38796129888,55143.5451075466,55979.176164840406,56827.470159610435,57688.61898274456,58562.8174329957,59450.26326104677,60351.15721424357,61265.70308200537,62194.10774192373,63136.58120655987,64093.33667095118,65064.590560837656,66050.56258161912,67051.47576805434,68067.55653471331,69099.03472719398,70146.14367411521,71209.12023989757,72288.20487834394,73383.6416870321,74495.67846253155,75624.5667564571,76770.56193237183,77933.92322355237,79114.91379162956,80313.8007861177,81530.85540484593
7,Delaware,5064.8,4941.6472715941,4821.4890532406835,4704.252532176521,4589.866666111147,4478.262140177077,4369.37132492679,4263.128235351045,4159.468490893671,4058.329276438623,3959.6493042456523,3863.3687768115233,3769.4293506342797,3677.7741008585945,3588.3474867807845,3501.095318192586,3415.964722543293,3332.9041129003635,3251.8631566890767,3172.7927451922983,3095.644963791872,3020.373062933605,2946.931429798248,2875.275560661312,2805.362033924966,2737.148483805675,2670.5935746616333,2605.656975944439,2542.299337759827,2480.4822670226536,2420.1683041916845,2361.3209005700833,2303.904396157849,2247.883998042783,2193.2257593168843,2139.8965585054057,2087.864079496099,2037.0967919564887,1987.5639322273094,1939.2354846805251,1892.0821635306388,1846.0753950882647,1801.1873004452148,1757.390678580603,1714.6589898777327
8,District of Columbia,6940.6,7165.048326460523,7396.7549665035785,7635.954642824111,7882.889668687917,8137.810193399029,8400.97445570514,8672.649045397762,8953.109173372142,9242.638950420485,9541.531675040938,9850.090130553863,10168.626891826394,10497.464641915998,10836.936498953799,11187.386353598806,11549.169217404895,11922.651582453438,12308.211792615899,12706.240426822496,13117.140694725178,13541.32884515573,13979.234587792793,14431.301528464946,14897.987618530811,15379.765618791427,15877.123578404835,16390.565329288023,16920.610996507075,17467.79752517254,18032.679224373795,18615.82832870341,19217.835577940346,19839.310815479206,20480.883606111784,21143.203873786704,21826.942559993237,22532.79230343623,23261.468141690675,24013.708235546717,24790.27461677885,25591.95396009683,26419.558380060305,27273.926253764395,28155.923070129713
9,Florida,90822.3,95935.79605319221,101337.19322632976,107042.7009882386,113069.441436635,119435.50068114742,126159.98311931604,133263.06876845087,140766.07382540006,148691.51463596692,157063.17526594643,165906.17887656027,175247.06311848643,185113.8597707393,195536.17886339442,206545.29753660853,218174.25390259858,230457.9461922575,243433.2374839435,257139.06632873102,271616.5636041083,286909.17594679544,303062.79613510345,320125.9008121073,338149.69596293825,357188.2705827687,377298.75899664435,398541.51231828076,420980.2795623693,444682.39895390556,469719.00000865577,496165.2169911992,524100.41439113015,553608.4250940682,584777.8019622214,617702.0835794919,652480.0749586172,689216.1440527432,728020.5349612541,769009.6987697819,812306.6430172388,858041.300838616,906350.9208913362,957380.4792353219,1011283.1144028201
