,State,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,Alabama,566.58,573.7998109515624,581.1116224505785,588.5166068408655,596.0159514051742,603.6108585555518,611.302546026132,619.092247068381,626.9812106488315,634.9707016493368,643.062001069876,651.2564062339445,659.5552309965606,667.9598059549234,676.4714786617552,685.0916138413622,693.8215936084479,702.6628176897157,711.616703648295,720.684687111027,729.8682219986465,739.1687807588978,748.5878546026199,758.1269537428412,767.78760763692,777.5713652317714,787.4797952122184,797.5144862525079,807.6770472710322,817.9691076882953,828.3923176881675,838.9483484824686,849.6388925789227,860.4656640525268,871.4303988203792,882.5348549200081,893.7808127912477,905.1700755617065,916.7044693358724,928.3858434879027,940.2160709581441,952.1970485534325,964.3306972512182,976.6189625075671,989.0638145690864
1,Alaska,262.416,260.13921448489316,257.8821829187902,255.64473391158927,253.4266975602111,251.22790543569712,249.04819057041973,246.88738744540333,244.7453319777555,242.62186150820727,240.51681478876125,238.43003197044723,236.36135459118384,234.31062556374556,232.2776891638341,230.2623910182534,228.26457809318697,226.2840986825773,224.32080239660579,222.3745401502727,220.44516415207636,218.53252789279034,216.63648613433816,214.75689489876444,212.89361145730192,211.04649431953297,209.2154032226456,207.40019912078228,205.60074417448146,203.81690174021048,202.0485363599895,200.29551375110526,198.55770079591426,196.83496553173424,195.1271771408236,193.4342059404474,191.75592337303,190.09220199639267,188.4429154740764,186.80793856574806,185.18714711769053,183.58041805337461,181.98762936411333,180.40866009979695,178.84339035970848
2,Arizona,293.727,299.8340644810237,306.06810481573257,312.43176103969023,318.92772807911524,325.5587568921476,332.327655633844,339.2372908453953,346.2905886680695,353.49053608239495,360.84018217310785,368.3426394204005,376.0010850180161,383.8187622187498,391.7989817079238,399.9451230054202,408.26063589686385,416.749041894562,425.4139357288195,434.25898687026034,443.2879410838012,452.50462201493457,461.9129328089932,471.5168577640818,481.32046401837556,491.3279032725009,501.5434135477271,511.9713209807132,522.6160416555715,533.4820834740218,544.5740480644297,555.8966327305366,567.4546324407074,579.2529418585376,591.29655741568,603.5905794277692,616.140214254339,628.9507765036487,642.0276912833514,655.3764964979562,669.0028451940598,682.9125079543387,697.1113753413163,711.6054603919399,726.4009011640247
3,Arkansas,248.99699999999999,251.807153123317,254.64902132985384,257.52296255259836,260.42933876413116,263.3685160222162,266.3408645159057,269.3467586121652,272.3865769030253,275.46070225326514,278.5695218486342,281.7134272446184,284.8928144157562,288.10808380551197,291.35964037671135,294.64789366254666,297.9732578181573,301.3361516727927,304.7369987825636,308.1762274837892,311.65427094694587,315.17156723122497,318.7285593397064,322.32569527515466,325.9634280964449,329.64221597562556,333.3625222556251,337.12481550861,340.9295695950014,344.77726372315766,348.6683825097307,352.6034160407034,356.58285993311586,360.60721539748835,364.67698930094866,368.79269423107195,372.9548485604412,377.16397651193597,381.42060822475855,385.7252798212046,390.0785334741879,394.4809174755269,398.93298630500203,403.4353007001923,407.98842772710015
4,California,1778.763,1748.172707742309,1718.1084923034023,1688.561306472585,1659.5222586286482,1630.9826100641155,1602.9337723555097,1575.367304778841,1548.2749117695441,1521.6484404260987,1495.4798780565789,1469.7613497673988,1444.4851160935236,1419.6435706694365,1395.2292379401576,1371.23477091163,1347.6529489397908,1324.4766755576666,1301.6989763398371,1279.3129968036242,1257.3120003463753,1235.6893662182213,1214.4385875296966,1193.5532692936242,1173.0271265006752,1152.8539822280234,1133.027765780527,1113.5425108638772,1094.3923537891635,1075.571531708317,1057.0743808798989,1038.895334964713,1021.0289233507305,1003.4697695068207,986.2125893647942,969.2521897292704,952.5834667148916,936.2014042104136,920.1010723692086,904.2776261257299,888.7263037374876,873.4424253521,858.4213915989878,843.6586822052874,829.1498546355672
5,Colorado,396.60600000000005,404.29528083018596,412.13363918235956,420.1239653278028,428.2692055735297,436.57236334869066,445.0365003120398,453.66473748087327,462.4602563818556,471.42630022415716,480.5661750953368,489.88325118040945,499.3809640045489,509.06281569988363,518.9323762968528,528.993285040599,539.2492517328823,549.7040581000117,560.3615591872968,571.2256847805354,582.3004408550597,593.5899110528773,605.0982581884492,616.8297257836629,628.7886396325637,640.9794093964233,653.4065302297334,666.0745844377227,678.9882431660097,692.1522681230149,705.5715133357651,719.2509269397397,733.1955530034179,747.4105333881996,761.9011096443855,776.6726249439168,791.7305260505855,807.0803653284424,822.727802789145,838.6786081789967,854.9386631064505,871.5139632108593,888.4106203732739,905.6348649701024,923.193048170464
6,Connecticut,201.285,204.4965562370007,207.7593537163365,211.07421000579146,214.44195571766318,217.8634347168916,221.3395043325084,224.87103557246027,228.4589133418596,232.10403666471754,235.80731890921473,239.56968801656652,243.39208673353957,247.2754728486784,251.220819432301,255.22911508032365,259.301364161976,263.4385870714684,267.64182048367513,271.9121176138963,276.2505484817652,280.6582001793655,285.1361771436273,289.6856014330684,294.30761300895176,299.0033700209283,303.7740490972377,308.6208456395394,313.54497412244723,318.54766839784367,323.63018200404946,328.79378847992587,334.0397816839888,339.36947611861416,344.7842072594165,350.2853318898824,355.87422844134335,361.552297338373,367.3209613496952,373.1816659446909,379.1358796555933,385.1850944454618,391.33082608202704,397.574614517501,403.9180242744468
7,Delaware,89.46000000000001,91.10140565134965,92.77292769563785,94.47511870627804,96.20854139526097,97.97376879917654,99.77138446864883,101.60198266124685,103.46616853793475,105.36455836312658,107.29777970841157,109.26647166001737,111.27128503007984,113.31288257178909,115.39193919848317,117.50914220676155,119.66519150369233,121.86079983818817,124.09669303662758,126.3736102427993,128.6923041622492,131.0535413111104,133.45810226949894,135.90678193955878,138.40038980824127,140.93975021490616,143.52570262383253,146.15910190172977,148.84081860034019,151.5717392442269,154.35276662384203,157.184820093972,160.0688358776588,163.0057673756976,165.99658548181267,169.04227890361673,172.14385448945865,175.30233756126847,178.51877225350935,181.7942218583485,185.12976917716142,188.52651687848544,191.985587862541,195.50812563244105,199.0952946722115
8,District of Columbia,23.856,23.936217543859648,24.016704825074378,24.097462750655765,24.178492230665277,24.25979417822453,24.341369509525578,24.42321914384123,24.50534400353543,24.587745014073633,24.670423104033237,24.753379205114047,24.836614252148784,24.92012918311361,25.003924939138695,25.088002464518837,25.172362706724087,25.257006616410436,25.341935147430526,25.427149256844398,25.512649904930278,25.59843805519539,25.684514674386836,25.770880732502462,25.85753720280181,25.94448506181708,26.031725289364122,26.1192588685535,26.20708678580156,26.295210030841535,26.383629596734714,26.472346479881626,26.561361680033272,26.65067620030239,26.740291047174747,26.830207230520507,26.92042576360559,27.010947663103092,27.101773949104754,27.19290564513244,27.284343778149697,27.376089378573297,27.468143480284873,27.560507120642555,27.653181340492665
9,Florida,1118.25,1130.9305182335618,1143.7548285911312,1156.7245616192322,1169.8413663541496,1183.106910531595,1196.5228807987523,1210.0909829287255,1223.8129420374187,1237.6905028028775,1251.7254296871145,1265.9195071604524,1280.2745399284108,1294.7923531611648,1309.474792725606,1324.323725420036,1339.3410392115202,1354.5286434759325,1369.8884692407241,1385.4224694304428,1401.132619115038,1417.0209157609816,1433.089379485234,1449.340053312094,1465.7750034329572,1482.396319469023,1499.2061147369789,1516.2065265176982,1533.3997163279846,1550.7878701953982,1568.3731989361977,1586.1579384364345,1604.144349936235,1622.3347203173048,1640.7313623936955,1659.336615205866,1678.1528443180812,1697.18244211918,1716.427828126757,1735.891449294791,1755.5757803247632,1775.483323980303,1795.6166114054022,1815.978202446236,1836.5706859766362
