,States,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,Alabama,0.039947116546126524,0.0400793758840686,0.040212073114253864,0.04034520968648252,0.04047878705535487,0.040612806680287196,0.0407472700255277,0.04088217856017252,0.04101753375818174,0.04115333709839555,0.041289590064550345,0.041426294145294994,0.04156345083420705,0.04170106162980911,0.041839128035585156,0.04197765155999701,0.0421166337165008,0.042256076023563474,0.042395980004679444,0.04253634718838718,0.042677179108285945,0.04281847730305252,0.042960243316458036,0.04310247869738484,0.043245184999843395,0.043388363782989305,0.0435320166111403,0.04367614505379335,0.04382075068564182,0.04396583508659266,0.044111399841783666,0.04425744654160082,0.04440397678169563,0.044550992163002595,0.044698494291756694,0.044846484779510906,0.044994965243153856,0.04514393730492745,0.04529340259244462,0.04544336273870708,0.045593819382123216,0.04574477416652593,0.04589622874119063,0.04604818476085325,0.046200643885728324
1,Alaska,0.07316226451738202,0.0719243177144483,0.07070731767002462,0.06951090995313623,0.06833474612998044,0.06717848366245117,0.0660417858083804,0.06492432152346758,0.0638257653648686,0.06274579739641589,0.061684103095442394,0.06064037326118207,0.05961430392472034,0.058605596260468185,0.05761395649913419,0.05663909584216915,0.05568073037765825,0.05473858099763653,0.05381237331680329,0.05290183759261195,0.052006708646712065,0.051126725787720505,0.05026163273529946,0.049411177545519075,0.04857511253748295,0.04775319422119524,0.04694518322664822,0.0461508442341098,0.04536994590559053,0.044602260817470304,0.04384756539426501,0.04310563984351389,0.042376268091768664,0.04165923772166573,0.04095433991006314,0.040261369367224374,0.03958012427703109,0.038910406238207546,0.038252020206539575,0.03760477443807117,0.03696848043326226,0.03634295288209137,0.035728009610087166,0.035123471525273176,0.034529162566010234
2,Arizona,0.04196400786506753,0.042076661591360254,0.042189617740197756,0.042302877123443064,0.042416440555138685,0.04253030885151244,0.04264448283098335,0.042758963314167495,0.04287375112388394,0.042988847085160625,0.043104252025240306,0.0432199667735865,0.04333599216188944,0.04345232902407207,0.043568978196296015,0.04368594051696761,0.04380321682674391,0.04392080796853875,0.044038714787528785,0.04415693813115959,0.044275478849151714,0.04439433779350683,0.044513515818513816,0.04463301378075493,0.04475283253911195,0.04487297295477234,0.044993435891235466,0.045114222214318773,0.045235332792164025,0.04535676849524354,0.04547853019636645,0.045600618770684956,0.04572303509570066,0.045845780051270824,0.04596885451961472,0.046092259385319974,0.0462159955353489,0.046340063859044905,0.04646446524813886,0.046589200596755524,0.04671427080141995,0.04683967676106396,0.04696541937703256,0.04709149955309047,0.04721791819542859
3,Arkansas,0.037726151687103124,0.03792535647789494,0.03812561312653336,0.03832692718712643,0.03852930424310944,0.03873274990739983,0.03893726982255283,0.03914286966091794,0.03934955512479631,0.03955733194659883,0.03976620588900516,0.03997618274512355,0.0401872683386515,0.04039946852403729,0.04061278918664234,0.04082723624290445,0.041042815640501905,0.041259533358518403,0.04147739540760891,0.04169640783016636,0.04191657670048922,0.04213790812495,0.04236040824216458,0.04258408322316247,0.042808939271557975,0.04303498262372224,0.04326221954895622,0.04349065634966456,0.04372029936153039,0.043951154953691056,0.044183229528914736,0.04441652952377806,0.0446510614088446,0.04488683168884435,0.04512384690285412,0.045362113624478895,0.04560163846203417,0.04584242805872921,0.04608448909285132,0.04632782827795107,0.04657245236302846,0.04681836813272014,0.04706558240748755,0.047314102043806136,0.04756393393435544
4,California,0.061988085566777866,0.06333668440594713,0.06471462305795912,0.06612253983317914,0.06756108692890911,0.06903093073150869,0.07053275212508921,0.07206724680692349,0.07363512560971766,0.07523711483089422,0.07687395656903895,0.07854640906766744,0.08025524706647058,0.08200126216020161,0.08378526316537108,0.0856080764949195,0.08747054654104136,0.08937353606633767,0.09131792660347846,0.09330461886356009,0.09533453315334688,0.09740860980158995,0.09952780959462115,0.10169311422142353,0.10390552672838471,0.1061660719839438,0.10847579715334703,0.11083577218373203,0.1132470902997656,0.11571086851006433,0.11822824812463292,0.12080039528355968,0.12342850149721421,0.12611378419819758,0.12885748730530053,0.13166088179973112,0.13452526631387848,0.13745196773288576,0.14044234180931067,0.14349777379115844,0.1466196790635782,0.1498095038045198,0.1530687256546551,0.15639885440187393,0.1598014326806716
5,Colorado,0.05758097492153672,0.058478902503828555,0.05939083252258728,0.06031698333420474,0.06125757670015975,0.062212837840117594,0.06318299548585757,0.06416828193604152,0.06516893311183639,0.0661851886134042,0.06721729177727291,0.06826548973460199,0.06933003347035649,0.07041117788340402,0.07150918184754874,0.07262430827351728,0.0737568241719111,0.07490700071714074,0.07607511331235693,0.07726144165539428,0.07846626980574332,0.07968988625256693,0.08093258398377737,0.08219466055619058,0.08347641816677444,0.0847781637250081,0.08610020892636966,0.08744287032696989,0.08880646941934973,0.0901913327094599,0.09159779179484079,0.0930261834440216,0.09447684967715765,0.09595013784792514,0.09744640072669294,0.09896599658499151,0.10050928928129885,0.10207664834816438,0.10366844908069138,0.10528507262639923,0.10692690607648699,0.10859434255852013,0.11028778133056273,0.11200762787677747,0.11375429400451649
6,Connecticut,0.0679924854833837,0.06819769086174031,0.06840351556217357,0.06860996145383447,0.0688170304115152,0.06902472431566618,0.06923304505241316,0.06944199451357431,0.06965157459667744,0.06986178720497718,0.07007263424747234,0.07028411763892317,0.07049623929986878,0.07070900115664461,0.07092240514139986,0.07113645319211509,0.0713511472526198,0.07156648927261008,0.07178248120766634,0.07199912501927101,0.07221642267482642,0.07243437614767262,0.07265298741710534,0.07287225846839392,0.07309219129279937,0.07331278788759245,0.07353405025607179,0.07375598040758212,0.07397858035753246,0.07420185212741448,0.0744257977448208,0.07465041924346348,0.07487571866319241,0.07510169805001389,0.07532835945610918,0.07555570493985313,0.07578373656583291,0.07601245640486674,0.07624186653402268,0.0764719690366375,0.07670276600233561,0.07693425952704805,0.07716645171303148,0.0773993446688873,0.07763294050958082
7,Delaware,0.06639256587218535,0.06612164712350517,0.06585183387462638,0.0655831216144924,0.06531550585045423,0.06504898210819543,0.06478354593165725,0.06451919288296415,0.06425591854234959,0.06399371850808216,0.06373258839639198,0.06347252384139737,0.06321352049503191,0.06295557402697173,0.06269868012456306,0.062442834492750204,0.06218803285400367,0.06193427094824869,0.06168154453279396,0.061429849382260746,0.06117918128851221,0.06092953606058307,0.06068090952460952,0.060433297523759436,0.060186695918162905,0.05994110058484299,0.05969650741764681,0.05945291232717687,0.059210311240722714,0.0589687001021928,0.058728074872046725,0.05848843152722765,0.05824976606109507,0.058012074483357795,0.057775352820007266,0.057539597113251094,0.05730480342144689,0.057070967819036374,0.05683808639647973,0.056606155260190236,0.05637517053246921,0.05614512835144112,0.05591602487098905,0.055687856260690394,0.0554606187057528
8,District of Columbia,0.17445564766008326,0.17403060568494944,0.17360659927778402,0.1731836259155397,0.1727616830813163,0.17234076826434572,0.17192087895997715,0.17150201266966209,0.17108416690093942,0.17066733916742066,0.17025152698877513,0.16983672789071522,0.16942293940498165,0.16901015906932876,0.16859838442750988,0.16818761302926274,0.16777784243029487,0.167369070192269,0.16696129388278863,0.16655451107538355,0.16614871934949535,0.16574391629046303,0.16534009948950867,0.1649372665437231,0.1645354150560515,0.16413454263527924,0.16373464689601766,0.1633357254586898,0.16293777594951628,0.16254079600050117,0.16214478324941795,0.1617497353397953,0.1613556499209033,0.16096252464773922,0.16057035718101376,0.160179145187137,0.15978888633820454,0.1593995783119837,0.15901121879189964,0.1586238054670216,0.15823733603204915,0.15785180818729846,0.15746721963868865,0.1570835680977281,0.15670085128150088
9,Florida,0.04276518706669428,0.04326797318665684,0.04377667051383644,0.04429134854571796,0.044812077596861385,0.045338928808508115,0.04587197415830017,0.04641128647011364,0.046956939424007825,0.04750900756629127,0.04806756631970616,0.0486326919937325,0.049204461795013366,0.0497829538379028,0.05036824715513765,0.05096042170863492,0.051559558400416046,0.052165739083659624,0.052779046573884054,0.05339956466026168,0.054027378117065955,0.05466257271525316,0.05530523523418033,0.0559554534734609,0.056613316264959766,0.05727891348492938,0.057952336066288496,0.05863367601104529,0.059323026402866554,0.06002048141979463,0.06072613634711391,0.06144008759036852,0.06216243268853318,0.06289327032733875,0.06363270035275459,0.06438082378462935,0.06513774283049216,0.06590356089951607,0.06667838261664566,0.06746231383689072,0.06825546165978807,0.0690579344440333,0.06986984182228455,0.07069129471614043,0.07152240535129391
