,State,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,.Alabama,4863525,4873172.097724265,4882838.331053776,4892523.737945169,4902228.356430371,4911952.224616748,4921695.380687253,4931457.862900577,4941239.709591299,4951040.959170041,4960861.650123609,4970701.821015154,4980561.510484318,4990440.757247387,5000339.600097444,5010258.077904519,5020196.229615743,5030154.094255503,5040131.710925592,5050129.118805364,5060146.357151886,5070183.465300097,5080240.482662957,5090317.448731604,5100414.40307551,5110531.385342634,5120668.4352595825,5130825.592631758,5141002.897343522,5151200.389358347,5161418.108718978,5171656.095547586,5181914.390045926,5192193.032495497,5202492.063257698,5212811.522773988,5223151.451566042,5233511.890235916,5243892.879466198,5254294.460020177,5264716.672741995,5275159.558556813,5285623.158470968,5296107.513572136,5306612.665029493
1,.Alaska,741456,743683.5981865219,745917.8888722353,748158.8921637941,750406.6282282595,752661.117293282,754922.3796472828,757190.435639637,759465.3056808567,761747.010242774,764035.569858726,766331.005123739,768633.3366947144,770942.585290614,773258.7716926471,775581.9167444569,777912.0413523084,780249.1664852763,782593.3131754344,784944.5025180437,787302.7556717433,789668.0938587403,792040.5383650009,794420.1105404417,796806.8317991224,799200.723619438,801601.8075443123,804010.1051813917,806425.6382032397,808848.4283475318,811278.4974172515,813715.8672808858,816160.5598726228,818612.5971925487,821072.0013068455,823538.7943479902,826012.9985149535,828494.6360733999,830983.7293558876,833480.30076207,835984.3727588969,838495.9678808169,841015.1087299802,843541.8179764417,846076.1183583655
2,.Arizona,6941072,7021099.692871886,7102050.071983938,7183933.7755273525,7266761.564347275,7350544.323356952,7435293.062968181,7521018.920538264,7607733.161833627,7695447.182510331,7784172.509611644,7873920.803082881,7964703.85730371,8056533.602638124,8149422.107002285,8243381.577450444,8338424.361779143,8434562.95014992,8531809.976730712,8630178.221356196,8729680.611207265,8830330.222509865,8932140.282253426,9035124.169929102,9139295.419288054,9244667.720120003,9351254.920052292,9459071.026369683,9568130.207855148,9678446.796651872,9790035.29014673,9902910.352875484,10017086.81844993,10132579.69150728,10249404.14968202,10367575.545600489,10487109.408898463,10608021.448262008,10730327.553491848,10854043.797591547,10979186.43887976,11105771.923126841,11233816.88571608,11363338.153829867,11494352.748661052
3,.Arkansas,2989918,2997529.4313851343,3005160.2391838464,3012810.4727226533,3020480.181453643,3028169.4149547936,3035878.2229302935,3043606.655210864,3051354.761754079,3059122.59264469,3066910.19809495,3074717.628444936,3082544.934162876,3090392.1658454756,3098259.3742182436,3106146.610135821,3114053.92458231,3121981.3686716016,3129928.9936477086,3137896.850885095,3145884.9918890093,3153893.4682958163,3161922.3318733317,3169971.634521156,3178041.4282710114,3186131.7652870766,3194242.697866325,3202374.278438861,3210526.559568262,3218699.5939519163,3226893.4344213624,3235108.1339426334,3243343.745616597,3251600.3226793013,3259877.9185023154,3268176.5865930775,3276496.3805952393,3284837.3542890134,3293199.5615915204,3301583.056557138,3309987.8933778494,3318414.1263835947,3326861.8100426216,3335330.9989618375,3343821.7478871625
4,.California,39167117,39415643.715439804,39665747.40495935,39917438.07491648,40170725.79516228,40425620.699443966,40682132.98581031,40940272.91701966,41200050.820950545,41461477.091014884,41724562.1865738,41989316.63335611,42255751.02387941,42523876.017873906,42793702.34270888,43065240.793821886,43338502.23515066,43613497.59956776,43890237.88931802,44168734.17645868,44448997.6033024,44731039.38286305,45014870.79930433,45300503.20839122,45587948.037944324,45877216.788297094,46168321.03275591,46461272.41806316,46756082.66486317,47052763.56817117,47351326.99784518,47651784.8990609,47954149.29278963,48258432.27627925,48564646.02353815,48872802.785822354,49182914.89212565,49494994.74967287,49809054.84441628,50125107.74153515,50443166.08593844,50763242.60277072,51085350.09792132,51409501.45853662,51735709.653535694
5,.Colorado,5539215,5611378.254099207,5684481.629721443,5758537.374491752,5833557.895593611,5909555.761847612,5986543.705817226,6064534.625941991,6143541.588698499,6223577.830789534,6304656.761361729,6386791.964252109,6469997.200263908,6554286.409472037,6639673.713558575,6726173.418178698,6813800.015357425,6902568.18591759,6992492.801939441,7083588.929252288,7175871.829958609,7269356.964991037,7364059.996702659,7459996.791491065,7557183.422456579,7655636.17209512,7755371.535026146,7856406.220756137,7958757.156478079,8062441.489907421,8167476.592154974,8273880.060637242,8381669.722024664,8490863.635228267,8601480.094425227,8713537.63212385,8827055.022268476,8942051.283384833,9058545.681766381,9176557.734702148,9296107.213746626,9417214.148032274,9539898.82762516,9664181.806924328,9790083.908105455
6,.Connecticut,3578141,3574871.070580749,3571604.1294278647,3568340.1738104825,3565079.201000233,3561821.2082712403,3558566.1929001193,3555314.1521659736,3552065.083350394,3548818.9837374547,3545575.8506137123,3542335.6812682035,3539098.4729924416,3535864.223080416,3532632.9288285887,3529404.5875358917,3526179.1965037263,3522956.7530359593,3519737.254438922,3516520.698021407,3513307.081094666,3510096.4009724082,3506888.654970798,3503683.8404084523,3500481.9546064376,3497282.9948882693,3494086.958579909,3490893.8430097615,3487703.6455086735,3484516.3634099304,3481331.994049255,3478150.5347648044,3474971.9828971694,3471796.33578937,3468623.5907868543,3465453.745237497,3462286.7964915964,3459122.7419018713,3455961.578823461,3452803.3046139213,3449647.9166332227,3446495.4122437485,3443345.7888102923,3440199.043700056,3437055.1742826477
7,.Delaware,948921,955823.6173241163,962776.4454939439,969779.8497519564,976834.1979974655,983939.8608059464,991097.2114485053,998306.6259114877,1005568.4829162296,1012883.1639389521,1020251.0532308012,1027672.5378380328,1035148.007622345,1042677.8552813581,1050262.4763692438,1057902.2693175036,1065597.6354558996,1073348.979033537,1081156.7072400993,1089021.2302272394,1096942.9611301247,1104922.3160891405,1112959.7142717496,1121055.5778945123,1129210.3322452663,1137424.405705467,1145698.229772692,1154032.2390833073,1162426.8714353,1170882.567811276,1179399.7724016265,1187978.9326278605,1196620.4991661098,1205324.9259708035,1214092.6702985137,1222924.1927319777,1231819.9572042916,1240780.4310232822,1249806.0848960553,1258897.3929537223,1268054.8327763071,1277278.8854178349,1286570.035431601,1295928.770895627,1305355.5834382991
8,.District of Columbia,685815,696496.2598577611,707343.8755288961,718360.4379303016,729548.5783312387,740910.9689818021,752450.323751179,764169.3987758473,776070.9931178694,788157.9494334394,800433.154651842,812899.5406649852,825560.0850276739,838417.8116687883,851475.7916135398,864737.1437169745,878205.0354089019,891882.6834504245,905773.3547022508,919880.3669049742,934207.0894715041,948756.9442918388,963533.4065503728,978540.0055559331,993780.3255847425,1009258.0067365124,1024976.7458038683,1040940.2971553166,1057152.4736319627,1073617.1474581957,1090338.251166556,1107319.7785370084,1124565.785550842,1142080.3913594286,1159867.779268068,1177932.1977351569,1196277.9613869183,1214909.4520479369,1233831.1197877417,1253047.4839836913,1272563.1344004124,1292382.7322860488,1312511.011485586,1332952.7795715134,1353712.9189920982
9,.Florida,20613477,20887695.68502389,21165562.269294284,21447125.280390233,21732433.89144751,22021537.9297464,22314487.88541369,22611334.92024045,22912130.8766171,23216928.286587343,23525780.381022546,23838741.098918162,24155865.096813824,24477207.758338742,24802825.203884106,25132774.300404135,25467112.67134752,25805898.706720985,26149191.573286712,26497051.224895433,26849538.412956983,27206714.697050124,27568642.45567353,27935384.897139788,28307006.070614297,28683570.87730106,29065145.081777237,29451795.3234785,29843589.128337186,30240594.920575235,30642882.03465406,31050520.72738333,31463582.190190893,31882138.561555855,32306262.93960713,32736029.394889515,33171512.983299658,33612789.75919405,34059936.78867145,34513032.16303193,34972155.01241507,35437385.51961946,35908804.934106134,36386495.58618826,36870540.90140956
10,.Georgia,10301890,10384000.556892307,10466765.570738938,10550190.257847285,10634279.876100987,10719039.725291312,10804475.147451172,10890591.527191812,10977394.29204218,11064888.912790997,11153080.903831553,11241975.82350926,11331579.274471967,11421896.90402307,11512934.404477438,11604697.513520172,11697192.014568225,11790423.737134904,11884398.557197284,11979122.397566536,12074601.228261225,12170841.066883562,12267847.978998676,12365628.078516895,12464187.52807908,12563532.539445026,12663669.373884965,12764604.342574181,12866343.806990782,12968894.179316627,13072261.922841465,13176453.552370282,13281475.6346339,13387334.788702853,13494037.686404552,13601591.052743783,13710001.666326554,13819276.35978732,13929422.020219613,14040445.589610104,14152354.065276125,14265154.50030668,14378854.00400697,14493459.74234646,14608978.938410513
11,.Hawaii,1427559,1434208.4868235034,1440888.9465700286,1447600.52350965,1454343.3625844442,1461117.6094116191,1467923.4102866591,1474760.9121864848,1481630.2627726265,1488531.6103944134,1495465.1040921772,1502430.8936004709,1509429.129351302,1516459.962477382,1523523.5448153897,1530620.02890925,1537749.5680134287,1544912.3160962423,1552108.4278431823,1559338.0586602567,1566601.3646773451,1573898.5027515716,1581229.630470691,1588594.9061564931,1595994.4888682214,1603428.5384060082,1610897.2153143252,1618400.6808854511,1625939.0971629547,1633512.6269451943,1641121.4337888334,1648765.6820123729,1656445.5366997,1664161.1637036526,1671912.729649602,1679700.4019390503,1687524.3487532465,1695384.7390568177,1703281.7426014186,1711215.5299293974,1719186.2723774784,1727194.1420804623,1735239.3119749438,1743321.9558030467,1751442.2481161747
12,.Idaho,1682380,1700384.6270038127,1718581.937345246,1736973.9930980434,1755562.8784040108,1774350.699709188,1793339.586002545,1812531.689057234,1831929.1836744228,1851534.267929738,1871349.163422345,1891376.115526695,1911617.393646964,1932075.2914742173,1952752.1272463235,1973650.2440106526,1994772.0098895836,2016119.8183488543,2037696.088468783,2059503.265218393,2081543.8197324693,2103820.2495915825,2126335.0791051076,2149090.8595972736,2172090.1696962714,2195335.6156264595,2218829.831503693,2242575.479633816,2266575.250814348,2290831.864639397,2315348.0698078373,2340126.644434787,2365170.3963664146,2390482.1634981195,2416064.8140961123,2441921.247122442,2468054.3925634986,2494467.211762031,2521162.6977527207,2548143.8756013424,2575413.8027475593,2602975.569351383,2630832.2986433436,2658987.147278406,2687443.305693675
13,.Illinois,12820527,12808178.87990514,12795842.652930576,12783518.307621423,12771205.832533827,12758905.216234958,12746616.447302993,12734339.514327118,12722074.4059075,12709821.110655295,12697579.617192619,12685349.914152553,12673131.990179125,12660925.8339273,12648731.434062969,12636548.779262941,12624377.85821493,12612218.659617545,12600071.172180282,12587935.38462351,12575811.285678463,12563698.864087226,12551598.108602729,12539509.007988734,12527431.551019827,12515365.726481402,12503311.52316966,12491268.929891586,12479237.935464954,12467218.5287183,12455210.698490925,12443214.433632879,12431229.723004946,12419256.555478645,12407294.919936212,12395344.805270588,12383406.200385416,12371479.094195023,12359563.475624416,12347659.333609266,12335766.657095904,12323885.435041305,12312015.65641308,12300157.310189467,12288310.385359319
14,.Indiana,6634304,6653804.128987084,6673361.574465923,6692976.504906182,6712649.0892727105,6732379.49702699,6752167.898128602,6772014.463036685,6791919.362711408,6811882.76861544,6831904.85271543,6851985.787483484,6872125.745898654,6892324.901448428,6912583.4281302225,6932901.500452884,6953279.293438189,6973716.982622354,6994214.744057548,7014772.7543134075,7035391.190478557,7056070.230162135,7076810.051495328,7097610.833132897,7118472.754254723,7139395.994567348,7160380.734305522,7181427.15423376,7202535.435647893,7223705.760376632,7244938.3107831385,7266233.269766589,7287590.820763753,7309011.147750575,7330494.435243757,7352040.86830235,7373650.632529344,7395323.914073274,7417060.899629814,7438861.776443393,7460726.732308806,7482655.95557283,7504649.635135847,7526707.960453472,7548831.121538185
