State,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Alabama,117.9361954,116.9867249,116.1085205,115.297966,114.5516357,113.8664474,113.2394638,112.6679611,112.1494141,111.6814804,111.26194,110.8887863,110.5601196,110.2741699,110.0293198,109.8240585,109.6569443,109.5266571,109.432045,109.3719482,109.3453827,109.3513565,109.3890533,109.4576416,109.5563889,109.6846771,109.8419189,110.0275726,110.241188,110.4823227,110.7506409,111.0458298,111.3676758,111.7159042,112.0903854,112.4910507,112.917778,113.3705521,113.8493958,114.3543549,114.8855133,115.4430161,116.0270615,116.6378479,117.2755585
Alaska,83.6197052,87.16737366,90.58208466,93.87245941,97.04663849,100.1123047,103.0768356,105.9470596,108.7294769,111.4302368,114.0552368,116.6099472,119.0996475,121.529335,123.9037781,126.2274857,128.5047913,130.7397919,132.9364471,135.0984955,137.2295837,139.3330536,141.4122772,143.4704895,145.5106354,147.5357513,149.5485382,151.5518494,153.5483398,155.5404816,157.5308228,159.5216827,161.5154877,163.5144348,165.5207977,167.5367584,169.5643311,171.6057129,173.6628876,175.7378387,177.8324585,179.9488831,182.0888367,184.254303,186.4471893
Arizona,84.69464111,84.93489075,85.50541687,86.40427399,87.63197327,89.19152832,91.08825684,93.32967377,95.92546082,98.8874588,102.2295685,105.967865,110.1204681,114.7077103,119.7520447,125.2782059,131.3132324,137.8865814,145.0302277,152.7786865,161.1692505,170.2421875,180.0406647,190.6111603,202.0034637,214.2711029,227.4712524,241.6653748,256.9190369,273.3024902,290.8908997,309.7647095,330.0097046,351.7178345,374.9872437,399.9228516,426.6367798,455.2486877,485.8869629,518.6879272,553.7979126,591.3729248,631.5796509,674.5963745,720.6132813
Arkansas,171.3149261,171.0375214,170.7718353,170.5180511,170.2762451,170.0465393,169.8289948,169.6236877,169.4306488,169.2498932,169.0814667,168.9253845,168.7816467,168.6502991,168.5313568,168.4248047,168.330658,168.2490234,168.1798248,168.1231384,168.0789948,168.0474396,168.0285339,168.0222778,168.0287476,168.0480194,168.0801392,168.1251831,168.1832581,168.254425,168.3387451,168.4363403,168.5473633,168.671875,168.8099823,168.961853,169.1275787,169.3073273,169.501236,169.7094421,169.9321136,170.1694489,170.4216003,170.6887665,170.9711151
California,318.2550964,323.1018982,327.4918213,331.3165283,334.4608459,336.7998657,338.2002258,338.5153809,337.5880127,335.2454224,331.2989197,325.5430298,317.7511292,307.6770325,295.0494995,279.5716248,260.9185181,258.7332153,258.6248627,262.1645355,267.8834076,256.2660904,241.0849538,234.6524015,228.2198492,224.405011,218.5333974,212.6617838,206.7901702,200.9185567,195.0469431,189.1753295,183.3037159,177.4321023,171.5604888,165.6888752,159.8172616,153.945648,148.0740345,142.2024209,136.3308073,130.4591937,124.5875801,118.7159666,112.844353
Colorado,210.3753052,218.1016388,226.7549744,236.447113,247.3039703,259.4677429,273.0985718,288.3770752,305.5068054,324.7174683,346.2677917,370.4496765,397.5919495,428.0655212,462.2886658,500.7325745,543.928772,592.4763794,647.0508423,708.4133301,777.4227295,855.0464478,942.3758545,1040.640991,1151.228271,1275.70105,1415.822021,1573.578125,1751.209351,1951.241577,2176.52124,2430.258301,2716.072266,3038.042236,3400.766602,3809.431885,4269.883301,4788.712402,5373.346191,6032.164551,6774.61084,7611.329102,8554.325195,9617.130859,10815.00195
Connecticut,48.92039108,48.84394836,48.76373291,48.67912674,48.58938599,48.49373245,48.39125443,48.28087997,48.16149139,48.03177261,47.89025116,47.73526764,47.56496048,47.37722015,47.1696701,46.93967056,46.68418503,46.39987564,46.08290482,45.72904968,45.33346176,44.89073944,44.39482117,43.83880615,43.21507263,42.51490784,41.72858047,40.84515762,39.85234451,38.73626328,37.48132706,36.07005692,34.48279953,33.46996587,32.20100617,30.93204647,31.88754082,30.02774811,28.76501572,27.75300558,26.74099544,25.7289853,24.71697515,23.70496501,22.69295487
Delaware,131.8305359,131.9330902,132.0426941,132.1534729,132.2535095,132.3187714,132.3015442,132.1070404,131.5476685,130.2527924,127.4903793,121.8154144,110.3761368,97.5453949,90.98827362,87.85326385,85.52204742,84.79083099,82.05961456,79.32839813,72.89621201,69.138038,65.37986399,64.62168999,61.86351598,58.10534197,54.44030736,51.21706063,47.9938139,44.77056716,41.54732043,38.3240737,35.10082696,31.87758023,28.6543335,25.43108676,22.20784003,18.9845933,15.76134656,12.53809983,9.314853096,8.091606363,7.868359629,7.354887104,6.578133837
District of Columbia,121.9545059,121.7584229,121.5614777,121.3636093,121.164772,120.9649734,120.7641983,120.5623856,120.3595047,120.1555252,119.9504395,119.7442474,119.53685,119.3282547,119.1184769,118.9074249,118.6950531,118.4813461,118.2662888,118.0498581,117.8319244,117.612587,117.3917084,117.1693192,116.9452667,116.7195969,116.4922638,116.2631912,116.0323715,115.7997437,115.5652771,115.3288803,115.0905075,114.8501663,114.6076965,114.3631897,114.1164093,113.8674698,113.6162491,113.3626328,113.106636,112.8481522,112.5871124,112.3234787,112.0571136
Florida,306.4543152,323.7913818,342.5285034,362.788269,384.70401,408.4207458,434.0964355,461.9034729,492.0296021,524.6795044,560.0770264,598.465271,640.1109619,685.3043213,734.3627319,787.6325073,845.493103,908.357605,976.6785278,1050.950439,1131.713623,1219.559692,1315.134888,1419.146484,1532.368408,1655.647339,1789.909546,1936.169067,2095.536621,2269.226807,2458.56958,2665.022705,2890.180664,3135.790771,3403.766846,3696.204102,4015.400391,4363.871582,4744.373047,5159.926758,5613.84082,6109.744629,6651.615234,7243.80957,7891.106445
